"IMAGE_ROLE","NORMALIZED_DOMAIN","REF_NAME","UNIQUE_REGISTER_CELL_COUNT","UTILIZATION_MEANING","SOURCE"
"RCA_PASS_CONTROL","PCIE_REFERENCE_OR_GT_CLOCKING","FDSE","21","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"RCA_PASS_CONTROL","PCIE_REFERENCE_OR_GT_CLOCKING","GTPE2_CHANNEL","1","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"RCA_PASS_CONTROL","PCIE_REFERENCE_OR_GT_CLOCKING","GTPE2_COMMON","1","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"RCA_PASS_CONTROL","PCIE_REFERENCE_OR_GT_CLOCKING","PCIE_2_1","1","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"RCA_PASS_CONTROL","PCIE_REFERENCE_OR_GT_CLOCKING","SRL16E","6","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"RCA_PASS_CONTROL","PCIE_REFERENCE_OR_GT_CLOCKING","SRLC32E","7","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"RCA_PASS_CONTROL","PCIE_USER_AXI_NVP_AUTOINIT_CAPTURE_CONTROL_COMBINED","FDPE","6","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"RCA_PASS_CONTROL","PCIE_USER_AXI_NVP_AUTOINIT_CAPTURE_CONTROL_COMBINED","FDRE","2167","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"RCA_PASS_CONTROL","PCIE_USER_AXI_NVP_AUTOINIT_CAPTURE_CONTROL_COMBINED","FDSE","23","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"RCA_PASS_CONTROL","PCIE_USER_AXI_NVP_AUTOINIT_CAPTURE_CONTROL_COMBINED","PCIE_2_1","1","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
"RCA_PASS_CONTROL","PCIE_USER_AXI_NVP_AUTOINIT_CAPTURE_CONTROL_COMBINED","RAMB36E1","10","SEQUENTIAL_PRIMITIVE_CELL_COUNT_ONLY_NOT_LOGIC_POWER","all_registers_-clock_-cells_REF_NAME"
