"IMAGE_ROLE","HIERARCHY_PATH","RAW_NAME","DEPTH","TOTAL_DYNAMIC_POWER_W","CLOCK_W","IO_W","SIGNAL_W","LOGIC_W","BRAM_W","CLOCK_IP_W","GT_W","PCIE_W","OTHER_REPORTED_CATEGORIES","POWER_VALUE_W","POWER_LOWER_BOUND_W","POWER_UPPER_BOUND_EXCLUSIVE_W","REPORT_RESOLUTION_W","SOURCE_TABLE","SOURCE_FILE","SOURCE_LINE"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/udma_wrapper/dma_top/base/CFG_INST","CFG_INST","6","0.001","<0.001","0.000","<0.001","<0.001","0.000","0.000","0.000","0.000","","0.001000","0.001000","0.001000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","195"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/udma_wrapper/dma_top/base/IRQ_INST","IRQ_INST","6","0.003","0.001","0.000","<0.001","<0.001","0.002","0.000","0.000","0.000","","0.003000","0.003000","0.003000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","196"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/udma_wrapper/dma_top/base/IRQ_INST/msix_internal_xdma.pf0_msix_table","msix_internal_xdma.pf0_msix_table","7","0.003","<0.001","0.000","<0.001","<0.001","0.002","0.000","0.000","0.000","","0.003000","0.003000","0.003000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","197"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/udma_wrapper/dma_top/dma_enable.vul_dma","dma_enable.vul_dma","5","0.037","0.011","0.000","0.010","0.010","0.006","0.000","0.000","0.000","","0.037000","0.037000","0.037000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","198"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/udma_wrapper/dma_top/dma_enable.vul_dma/RD","RD","6","0.012","0.004","0.000","0.003","0.003","0.002","0.000","0.000","0.000","","0.012000","0.012000","0.012000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","199"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/udma_wrapper/dma_top/dma_enable.vul_dma/RD/gen_rdwr_loop[0].gen_rdwr_eng.RDWR_INST","gen_rdwr_loop[0].gen_rdwr_eng.RDWR_INST","7","0.012","0.004","0.000","0.003","0.003","0.002","0.000","0.000","0.000","","0.012000","0.012000","0.012000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","200"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/udma_wrapper/dma_top/dma_enable.vul_dma/RD/gen_rdwr_loop[0].gen_rdwr_eng.RDWR_INST/RRQ_FIFO","RRQ_FIFO","8","0.001","<0.001","0.000","<0.001","<0.001","0.000","0.000","0.000","0.000","","0.001000","0.001000","0.001000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","201"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/udma_wrapper/dma_top/dma_enable.vul_dma/WR","WR","6","0.015","0.004","0.000","0.004","0.003","0.004","0.000","0.000","0.000","","0.015000","0.015000","0.015000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","202"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/udma_wrapper/dma_top/dma_enable.vul_dma/WR/gen_rdwr_loop[0].gen_rdwr_eng.RDWR_INST","gen_rdwr_loop[0].gen_rdwr_eng.RDWR_INST","7","0.015","0.004","0.000","0.004","0.003","0.004","0.000","0.000","0.000","","0.015000","0.015000","0.015000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","203"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/udma_wrapper/dma_top/dma_enable.vul_dma/WR/gen_rdwr_loop[0].gen_rdwr_eng.RDWR_INST/DSC_FIFO","DSC_FIFO","8","0.001","<0.001","0.000","<0.001","<0.001","0.000","0.000","0.000","0.000","","0.001000","0.001000","0.001000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","204"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/udma_wrapper/dma_top/dma_enable.vul_dma/WR/gen_rdwr_loop[0].gen_rdwr_eng.RDWR_INST/WRQ_FIFO","WRQ_FIFO","8","0.002","<0.001","0.000","<0.001","<0.001","0.000","0.000","0.000","0.000","","0.002000","0.002000","0.002000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","205"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/udma_wrapper/dma_top/dma_enable.vul_dma/dsc_eng.DSC","dsc_eng.DSC","6","0.009","0.003","0.000","0.003","0.003","0.000","0.000","0.000","0.000","","0.009000","0.009000","0.009000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","206"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/udma_wrapper/dma_top/dma_enable.vul_dma/dsc_eng.DSC/RRQ_FIFO","RRQ_FIFO","7","0.001","<0.001","0.000","<0.001","<0.001","0.000","0.000","0.000","0.000","","0.001000","0.001000","0.001000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","207"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/udma_wrapper/dma_top/dma_enable.wb_eng.dma_pcie_wb_eng","dma_enable.wb_eng.dma_pcie_wb_eng","5","0.001","<0.001","0.000","<0.001","<0.001","0.000","0.000","0.000","0.000","","0.001000","0.001000","0.001000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","208"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/udma_wrapper/dma_top/dma_pcie_req","dma_pcie_req","5","0.014","0.006","0.000","0.004","0.003","0.001","0.000","0.000","0.000","","0.014000","0.014000","0.014000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","209"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/udma_wrapper/dma_top/dma_pcie_req/dma_pcie_rc","dma_pcie_rc","6","0.007","0.002","0.000","0.002","0.002","0.001","0.000","0.000","0.000","","0.007000","0.007000","0.007000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","210"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/udma_wrapper/dma_top/dma_pcie_req/dma_pcie_rc/u_mem_rc","u_mem_rc","7","0.002","<0.001","0.000","<0.001","0.000","0.001","0.000","0.000","0.000","","0.002000","0.002000","0.002000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","211"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/udma_wrapper/dma_top/dma_pcie_req/dma_pcie_rq","dma_pcie_rq","6","0.005","0.003","0.000","0.001","<0.001","0.000","0.000","0.000","0.000","","0.005000","0.005000","0.005000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","212"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/udma_wrapper/dma_top/dma_pcie_req/dma_pcie_rq/RQ_FIFO","RQ_FIFO","7","0.001","<0.001","0.000","<0.001","<0.001","0.000","0.000","0.000","0.000","","0.001000","0.001000","0.001000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","213"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i","xdma_v41_m1_pcie2_to_pcie3_wrapper_i","3","0.306","0.009","0.000","0.004","0.002","0.011","0.107","0.149","0.025","","0.306000","0.306000","0.306000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","214"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i","pcie2_ip_i","4","0.301","0.006","0.000","0.003","<0.001","0.010","0.107","0.149","0.025","","0.301000","0.301000","0.301000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","215"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst","inst","5","0.301","0.006","0.000","0.003","<0.001","0.010","0.107","0.149","0.025","","0.301000","0.301000","0.301000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","216"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst","inst","6","0.301","0.006","0.000","0.003","<0.001","0.010","0.107","0.149","0.025","","0.301000","0.301000","0.301000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","217"
"FORMAL_PHASE2_FAIL_CONTROL","ahd_capture_top_xdma/XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i","gt_top_i","7","0.262","0.005","0.000","<0.001","<0.001","0.000","0.107","0.149","0.000","","0.262000","0.262000","0.262000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","218"
