GlobalSequenceNumber,ConfigurationLayer,SourceExpected,HardwareLedgerObserved,Comparison,Evidence
348,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xA8 data=N/A,SESSION_1_COUNTER=87,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
349,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE0 data=N/A,SESSION_1_COUNTER=87,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
350,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE1 data=N/A,SESSION_1_COUNTER=87,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
351,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE2 data=N/A,SESSION_1_COUNTER=87,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
352,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE8 data=N/A,SESSION_1_COUNTER=87,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
353,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xA8 data=N/A,SESSION_1_COUNTER=87,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
354,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE0 data=N/A,SESSION_1_COUNTER=87,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
355,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE1 data=N/A,SESSION_1_COUNTER=87,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
356,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE2 data=N/A,SESSION_1_COUNTER=87,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
357,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE8 data=N/A,SESSION_1_COUNTER=87,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
358,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xA8 data=N/A,SESSION_1_COUNTER=87,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
359,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE0 data=N/A,SESSION_1_COUNTER=87,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
360,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE1 data=N/A,SESSION_1_COUNTER=87,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
361,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE2 data=N/A,SESSION_1_COUNTER=87,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
362,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE8 data=N/A,SESSION_1_COUNTER=87,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
363,L6_SESSION_ROUTE_STATUS,WRITE bank=0x00 addr=0xFF data=0x01,SESSION_2_COUNTER=117,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
364,L6_SESSION_ROUTE_STATUS,READ bank=0x01 addr=0xC2 data=N/A,SESSION_2_COUNTER=117,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
365,L6_SESSION_ROUTE_STATUS,WRITE bank=0x01 addr=0xC2 data=0x01,SESSION_2_COUNTER=117,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
366,L6_SESSION_ROUTE_STATUS,READ bank=0x01 addr=0xC2 data=N/A,SESSION_2_COUNTER=117,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
367,L6_SESSION_ROUTE_STATUS,WRITE bank=0x01 addr=0xFF data=0x00,SESSION_2_COUNTER=117,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
368,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xA8 data=N/A,SESSION_2_COUNTER=117,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
369,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE0 data=N/A,SESSION_2_COUNTER=117,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
370,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE1 data=N/A,SESSION_2_COUNTER=117,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
371,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE2 data=N/A,SESSION_2_COUNTER=117,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
372,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE9 data=N/A,SESSION_2_COUNTER=117,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
373,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xA8 data=N/A,SESSION_2_COUNTER=117,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
374,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE0 data=N/A,SESSION_2_COUNTER=117,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
375,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE1 data=N/A,SESSION_2_COUNTER=117,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
376,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE2 data=N/A,SESSION_2_COUNTER=117,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
377,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE9 data=N/A,SESSION_2_COUNTER=117,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
378,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xA8 data=N/A,SESSION_2_COUNTER=117,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
379,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE0 data=N/A,SESSION_2_COUNTER=117,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
380,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE1 data=N/A,SESSION_2_COUNTER=117,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
381,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE2 data=N/A,SESSION_2_COUNTER=117,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
382,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE9 data=N/A,SESSION_2_COUNTER=117,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
383,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xA8 data=N/A,SESSION_2_COUNTER=117,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
384,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE0 data=N/A,SESSION_2_COUNTER=117,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
385,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE1 data=N/A,SESSION_2_COUNTER=117,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
386,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE2 data=N/A,SESSION_2_COUNTER=117,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
387,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE9 data=N/A,SESSION_2_COUNTER=117,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
388,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xA8 data=N/A,SESSION_2_COUNTER=117,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
389,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE0 data=N/A,SESSION_2_COUNTER=117,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
390,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE1 data=N/A,SESSION_2_COUNTER=117,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
391,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE2 data=N/A,SESSION_2_COUNTER=117,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
392,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE9 data=N/A,SESSION_2_COUNTER=117,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
393,L6_SESSION_ROUTE_STATUS,WRITE bank=0x00 addr=0xFF data=0x01,SESSION_3_COUNTER=147,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
394,L6_SESSION_ROUTE_STATUS,READ bank=0x01 addr=0xC2 data=N/A,SESSION_3_COUNTER=147,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
395,L6_SESSION_ROUTE_STATUS,WRITE bank=0x01 addr=0xC2 data=0x02,SESSION_3_COUNTER=147,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
396,L6_SESSION_ROUTE_STATUS,READ bank=0x01 addr=0xC2 data=N/A,SESSION_3_COUNTER=147,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
397,L6_SESSION_ROUTE_STATUS,WRITE bank=0x01 addr=0xFF data=0x00,SESSION_3_COUNTER=147,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
398,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xA8 data=N/A,SESSION_3_COUNTER=147,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
399,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE0 data=N/A,SESSION_3_COUNTER=147,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
400,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE1 data=N/A,SESSION_3_COUNTER=147,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
401,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE2 data=N/A,SESSION_3_COUNTER=147,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
402,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xEA data=N/A,SESSION_3_COUNTER=147,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
403,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xA8 data=N/A,SESSION_3_COUNTER=147,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
404,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE0 data=N/A,SESSION_3_COUNTER=147,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
405,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE1 data=N/A,SESSION_3_COUNTER=147,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
406,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE2 data=N/A,SESSION_3_COUNTER=147,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
407,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xEA data=N/A,SESSION_3_COUNTER=147,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
408,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xA8 data=N/A,SESSION_3_COUNTER=147,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
409,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE0 data=N/A,SESSION_3_COUNTER=147,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
410,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE1 data=N/A,SESSION_3_COUNTER=147,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
411,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE2 data=N/A,SESSION_3_COUNTER=147,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
412,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xEA data=N/A,SESSION_3_COUNTER=147,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
413,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xA8 data=N/A,SESSION_3_COUNTER=147,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
414,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE0 data=N/A,SESSION_3_COUNTER=147,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
415,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE1 data=N/A,SESSION_3_COUNTER=147,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
416,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE2 data=N/A,SESSION_3_COUNTER=147,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
417,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xEA data=N/A,SESSION_3_COUNTER=147,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
418,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xA8 data=N/A,SESSION_3_COUNTER=147,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
419,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE0 data=N/A,SESSION_3_COUNTER=147,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
420,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE1 data=N/A,SESSION_3_COUNTER=147,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
421,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE2 data=N/A,SESSION_3_COUNTER=147,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
422,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xEA data=N/A,SESSION_3_COUNTER=147,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
423,L6_SESSION_ROUTE_STATUS,WRITE bank=0x00 addr=0xFF data=0x01,SESSION_4_COUNTER=177,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
424,L6_SESSION_ROUTE_STATUS,READ bank=0x01 addr=0xC2 data=N/A,SESSION_4_COUNTER=177,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
425,L6_SESSION_ROUTE_STATUS,WRITE bank=0x01 addr=0xC2 data=0x03,SESSION_4_COUNTER=177,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
426,L6_SESSION_ROUTE_STATUS,READ bank=0x01 addr=0xC2 data=N/A,SESSION_4_COUNTER=177,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
427,L6_SESSION_ROUTE_STATUS,WRITE bank=0x01 addr=0xFF data=0x00,SESSION_4_COUNTER=177,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
428,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xA8 data=N/A,SESSION_4_COUNTER=177,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
429,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE0 data=N/A,SESSION_4_COUNTER=177,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
430,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE1 data=N/A,SESSION_4_COUNTER=177,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
431,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE2 data=N/A,SESSION_4_COUNTER=177,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
432,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xEB data=N/A,SESSION_4_COUNTER=177,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
433,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xA8 data=N/A,SESSION_4_COUNTER=177,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
434,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE0 data=N/A,SESSION_4_COUNTER=177,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
435,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE1 data=N/A,SESSION_4_COUNTER=177,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
436,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE2 data=N/A,SESSION_4_COUNTER=177,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
437,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xEB data=N/A,SESSION_4_COUNTER=177,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
438,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xA8 data=N/A,SESSION_4_COUNTER=177,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
439,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE0 data=N/A,SESSION_4_COUNTER=177,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
440,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE1 data=N/A,SESSION_4_COUNTER=177,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
441,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE2 data=N/A,SESSION_4_COUNTER=177,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
442,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xEB data=N/A,SESSION_4_COUNTER=177,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
443,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xA8 data=N/A,SESSION_4_COUNTER=177,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
444,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE0 data=N/A,SESSION_4_COUNTER=177,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
445,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE1 data=N/A,SESSION_4_COUNTER=177,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
446,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE2 data=N/A,SESSION_4_COUNTER=177,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
447,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xEB data=N/A,SESSION_4_COUNTER=177,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
448,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xA8 data=N/A,SESSION_4_COUNTER=177,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
449,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE0 data=N/A,SESSION_4_COUNTER=177,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
450,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE1 data=N/A,SESSION_4_COUNTER=177,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
451,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE2 data=N/A,SESSION_4_COUNTER=177,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
452,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xEB data=N/A,SESSION_4_COUNTER=177,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
453,L5_ROUND_BGDCOL,WRITE bank=0x00 addr=0xFF data=0x00,ROUND_READBACK_AND_COUNTER_SEGMENT,MATCH_AGGREGATE,4/4 BGDCOL readbacks; five transactions precede each new round
454,L5_ROUND_BGDCOL,WRITE bank=0x00 addr=0x78 data=0x61,ROUND_READBACK_AND_COUNTER_SEGMENT,MATCH_AGGREGATE,4/4 BGDCOL readbacks; five transactions precede each new round
455,L5_ROUND_BGDCOL,WRITE bank=0x00 addr=0x79 data=0x34,ROUND_READBACK_AND_COUNTER_SEGMENT,MATCH_AGGREGATE,4/4 BGDCOL readbacks; five transactions precede each new round
456,L5_ROUND_BGDCOL,READ bank=0x00 addr=0x78 data=N/A,ROUND_READBACK_AND_COUNTER_SEGMENT,MATCH_AGGREGATE,4/4 BGDCOL readbacks; five transactions precede each new round
457,L5_ROUND_BGDCOL,READ bank=0x00 addr=0x79 data=N/A,ROUND_READBACK_AND_COUNTER_SEGMENT,MATCH_AGGREGATE,4/4 BGDCOL readbacks; five transactions precede each new round
458,L6_SESSION_ROUTE_STATUS,WRITE bank=0x00 addr=0xFF data=0x01,SESSION_5_COUNTER=212,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
459,L6_SESSION_ROUTE_STATUS,READ bank=0x01 addr=0xC2 data=N/A,SESSION_5_COUNTER=212,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
460,L6_SESSION_ROUTE_STATUS,WRITE bank=0x01 addr=0xC2 data=0x03,SESSION_5_COUNTER=212,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
461,L6_SESSION_ROUTE_STATUS,READ bank=0x01 addr=0xC2 data=N/A,SESSION_5_COUNTER=212,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
462,L6_SESSION_ROUTE_STATUS,WRITE bank=0x01 addr=0xFF data=0x00,SESSION_5_COUNTER=212,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
463,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xA8 data=N/A,SESSION_5_COUNTER=212,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
464,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE0 data=N/A,SESSION_5_COUNTER=212,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
465,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE1 data=N/A,SESSION_5_COUNTER=212,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
466,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE2 data=N/A,SESSION_5_COUNTER=212,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
467,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xEB data=N/A,SESSION_5_COUNTER=212,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
468,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xA8 data=N/A,SESSION_5_COUNTER=212,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
469,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE0 data=N/A,SESSION_5_COUNTER=212,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
470,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE1 data=N/A,SESSION_5_COUNTER=212,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
471,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE2 data=N/A,SESSION_5_COUNTER=212,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
472,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xEB data=N/A,SESSION_5_COUNTER=212,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
473,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xA8 data=N/A,SESSION_5_COUNTER=212,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
474,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE0 data=N/A,SESSION_5_COUNTER=212,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
475,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE1 data=N/A,SESSION_5_COUNTER=212,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
476,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE2 data=N/A,SESSION_5_COUNTER=212,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
477,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xEB data=N/A,SESSION_5_COUNTER=212,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
478,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xA8 data=N/A,SESSION_5_COUNTER=212,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
479,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE0 data=N/A,SESSION_5_COUNTER=212,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
480,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE1 data=N/A,SESSION_5_COUNTER=212,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
481,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE2 data=N/A,SESSION_5_COUNTER=212,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
482,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xEB data=N/A,SESSION_5_COUNTER=212,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
483,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xA8 data=N/A,SESSION_5_COUNTER=212,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
484,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE0 data=N/A,SESSION_5_COUNTER=212,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
485,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE1 data=N/A,SESSION_5_COUNTER=212,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
486,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xE2 data=N/A,SESSION_5_COUNTER=212,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
487,L6_SESSION_ROUTE_STATUS,READ bank=0x00 addr=0xEB data=N/A,SESSION_5_COUNTER=212,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
488,L6_SESSION_ROUTE_STATUS,WRITE bank=0x00 addr=0xFF data=0x01,SESSION_6_COUNTER=242,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
489,L6_SESSION_ROUTE_STATUS,READ bank=0x01 addr=0xC2 data=N/A,SESSION_6_COUNTER=242,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
490,L6_SESSION_ROUTE_STATUS,WRITE bank=0x01 addr=0xC2 data=0x02,SESSION_6_COUNTER=242,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
491,L6_SESSION_ROUTE_STATUS,READ bank=0x01 addr=0xC2 data=N/A,SESSION_6_COUNTER=242,MATCH_AGGREGATE,snapshot counter increments 30 per session; route/status readbacks passed
