transaction,operation,group,bank,entry_index,register
87,READ_MANIFEST_ENTRY,7,0x07,69,0xEB
88,WRITE_SELECT_BANK,8,0x08,,0xFF
89,READ_VERIFY_BANK,8,0x08,,0xFF
90,READ_MANIFEST_ENTRY,8,0x08,70,0xF0
91,READ_MANIFEST_ENTRY,8,0x08,71,0xF2
92,READ_MANIFEST_ENTRY,8,0x08,72,0xF3
93,READ_MANIFEST_ENTRY,8,0x08,73,0xF4
94,READ_MANIFEST_ENTRY,8,0x08,74,0xF5
95,READ_MANIFEST_ENTRY,8,0x08,75,0xE2
96,READ_MANIFEST_ENTRY,8,0x08,76,0xE3
97,READ_MANIFEST_ENTRY,8,0x08,77,0xE8
98,READ_MANIFEST_ENTRY,8,0x08,78,0xE9
99,READ_MANIFEST_ENTRY,8,0x08,79,0xEA
100,READ_MANIFEST_ENTRY,8,0x08,80,0xEB
101,WRITE_SELECT_BANK,9,0x00,,0xFF
102,READ_VERIFY_BANK,9,0x00,,0xFF
103,READ_MANIFEST_ENTRY,9,0x00,81,0xA8
104,WRITE_RESTORE_ENTRY_BANK,,,,0xFF
105,READ_VERIFY_RESTORED_BANK,,,,0xFF
