"IMAGE_ROLE","RAW_SUPPLY_NAME","NORMALIZED_SUPPLY_CLASS","VOLTAGE_V","ESTIMATED_CURRENT_A","ESTIMATED_POWER_W","STATIC_OR_DYNAMIC_IF_REPORTED","RAW_CURRENT_TOKEN","CURRENT_REPORT_RESOLUTION_A","POWER_REPORT_RESOLUTION_W","REPORT_SECTION","REPORT_CONFIDENCE","ACTIVITY_BASIS","POWER_METHOD","SOURCE_FILE","SOURCE_LINE_OR_TABLE"
"FORMAL_PHASE2_FAIL_CONTROL","Vcco25","OTHER_VCCO_CLASS","2.500","0.000000","0.000000","DYNAMIC","0.000","0.001000","0.002500","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 94"
"FORMAL_PHASE2_FAIL_CONTROL","Vcco25","OTHER_VCCO_CLASS","2.500","0.000000","0.000000","STATIC","0.000","0.001000","0.002500","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 94"
"FORMAL_PHASE2_FAIL_CONTROL","Vcco18","OTHER_VCCO_CLASS","1.800","0.000000","0.000000","TOTAL","0.000","0.001000","0.001800","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 95"
"FORMAL_PHASE2_FAIL_CONTROL","Vcco18","OTHER_VCCO_CLASS","1.800","0.000000","0.000000","DYNAMIC","0.000","0.001000","0.001800","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 95"
"FORMAL_PHASE2_FAIL_CONTROL","Vcco18","OTHER_VCCO_CLASS","1.800","0.000000","0.000000","STATIC","0.000","0.001000","0.001800","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 95"
"FORMAL_PHASE2_FAIL_CONTROL","Vcco15","OTHER_VCCO_CLASS","1.500","0.000000","0.000000","TOTAL","0.000","0.001000","0.001500","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 96"
"FORMAL_PHASE2_FAIL_CONTROL","Vcco15","OTHER_VCCO_CLASS","1.500","0.000000","0.000000","DYNAMIC","0.000","0.001000","0.001500","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 96"
"FORMAL_PHASE2_FAIL_CONTROL","Vcco15","OTHER_VCCO_CLASS","1.500","0.000000","0.000000","STATIC","0.000","0.001000","0.001500","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 96"
"FORMAL_PHASE2_FAIL_CONTROL","Vcco135","OTHER_VCCO_CLASS","1.350","0.000000","0.000000","TOTAL","0.000","0.001000","0.001350","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 97"
"FORMAL_PHASE2_FAIL_CONTROL","Vcco135","OTHER_VCCO_CLASS","1.350","0.000000","0.000000","DYNAMIC","0.000","0.001000","0.001350","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 97"
"FORMAL_PHASE2_FAIL_CONTROL","Vcco135","OTHER_VCCO_CLASS","1.350","0.000000","0.000000","STATIC","0.000","0.001000","0.001350","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 97"
"FORMAL_PHASE2_FAIL_CONTROL","Vcco12","OTHER_VCCO_CLASS","1.200","0.000000","0.000000","TOTAL","0.000","0.001000","0.001200","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 98"
"FORMAL_PHASE2_FAIL_CONTROL","Vcco12","OTHER_VCCO_CLASS","1.200","0.000000","0.000000","DYNAMIC","0.000","0.001000","0.001200","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 98"
"FORMAL_PHASE2_FAIL_CONTROL","Vcco12","OTHER_VCCO_CLASS","1.200","0.000000","0.000000","STATIC","0.000","0.001000","0.001200","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 98"
"FORMAL_PHASE2_FAIL_CONTROL","Vccaux_io","OTHER_SUPPLY","1.800","0.000000","0.000000","TOTAL","0.000","0.001000","0.001800","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 99"
"FORMAL_PHASE2_FAIL_CONTROL","Vccaux_io","OTHER_SUPPLY","1.800","0.000000","0.000000","DYNAMIC","0.000","0.001000","0.001800","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 99"
"FORMAL_PHASE2_FAIL_CONTROL","Vccaux_io","OTHER_SUPPLY","1.800","0.000000","0.000000","STATIC","0.000","0.001000","0.001800","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 99"
"FORMAL_PHASE2_FAIL_CONTROL","Vccbram","VCCBRAM","1.000","0.002000","0.002000","TOTAL","0.002","0.001000","0.001000","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 100"
"FORMAL_PHASE2_FAIL_CONTROL","Vccbram","VCCBRAM","1.000","0.001000","0.001000","DYNAMIC","0.001","0.001000","0.001000","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 100"
"FORMAL_PHASE2_FAIL_CONTROL","Vccbram","VCCBRAM","1.000","0.001000","0.001000","STATIC","0.001","0.001000","0.001000","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 100"
"FORMAL_PHASE2_FAIL_CONTROL","MGTAVcc","MGTAVCC","1.000","0.068000","0.068000","TOTAL","0.068","0.001000","0.001000","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 101"
"FORMAL_PHASE2_FAIL_CONTROL","MGTAVcc","MGTAVCC","1.000","0.067000","0.067000","DYNAMIC","0.067","0.001000","0.001000","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 101"
"FORMAL_PHASE2_FAIL_CONTROL","MGTAVcc","MGTAVCC","1.000","0.001000","0.001000","STATIC","0.001","0.001000","0.001000","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 101"
"FORMAL_PHASE2_FAIL_CONTROL","MGTAVtt","MGTAVTT","1.200","0.062000","0.074400","TOTAL","0.062","0.001000","0.001200","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 102"
"FORMAL_PHASE2_FAIL_CONTROL","MGTAVtt","MGTAVTT","1.200","0.059000","0.070800","DYNAMIC","0.059","0.001000","0.001200","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 102"
"FORMAL_PHASE2_FAIL_CONTROL","MGTAVtt","MGTAVTT","1.200","0.003000","0.003600","STATIC","0.003","0.001000","0.001200","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 102"
"FORMAL_PHASE2_FAIL_CONTROL","Vccadc","OTHER_SUPPLY","1.800","0.020000","0.036000","TOTAL","0.020","0.001000","0.001800","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 103"
"FORMAL_PHASE2_FAIL_CONTROL","Vccadc","OTHER_SUPPLY","1.800","0.000000","0.000000","DYNAMIC","0.000","0.001000","0.001800","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 103"
"FORMAL_PHASE2_FAIL_CONTROL","Vccadc","OTHER_SUPPLY","1.800","0.020000","0.036000","STATIC","0.020","0.001000","0.001800","1.2 Power Supply Summary","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","DERIVED_REPORTED_VOLTAGE_TIMES_REPORTED_CURRENT","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","line 103"
