"IMAGE_ROLE","RAW_CLOCK_NAME","SOURCE_PIN_OR_PORT","PERIOD_NS","FREQUENCY_MHZ","FANOUT","CLOCK_NETWORK_POWER_W","CONFIDENCE","ACTIVITY_BASIS","REPORT_SECTION","DEPTH","IS_SUMMARY_ROOT","NORMALIZED_DOMAIN","POWER_VALUE_W","POWER_LOWER_BOUND_W","POWER_UPPER_BOUND_EXCLUSIVE_W","REPORT_RESOLUTION_W","SOURCE_FILE","SOURCE_LINE"
"FORMAL_PHASE2_FAIL_CONTROL","NVP_PHYSICAL_FRONTEND/vclk1_io","CHILD_CLOCK_NETWORK_ROW","6.734007","148.500000","8","<0.001","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","3.2 By Clock Domain","1","False","","","0.000000","0.001000","0.001000","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","284"
"FORMAL_PHASE2_FAIL_CONTROL","vclk1","CHILD_CLOCK_NETWORK_ROW","6.734007","148.500000","1","0.000","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","3.2 By Clock Domain","1","False","","0.000000","0.000000","0.000000","0.001000","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","285"
"FORMAL_PHASE2_FAIL_CONTROL","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/clk_125mhz","ROOT_NOT_EXPLICIT_IN_REPORT_POWER","8.000000","125.000000","434","0.004","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","3.2 By Clock Domain","0","True","PCIE_REFERENCE_OR_GT_CLOCKING","0.004000","0.004000","0.004000","0.001000","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","286"
"FORMAL_PHASE2_FAIL_CONTROL","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/CLK","CHILD_CLOCK_NETWORK_ROW","8.000000","125.000000","145","0.001","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","3.2 By Clock Domain","1","False","","0.001000","0.001000","0.001000","0.001000","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","287"
"FORMAL_PHASE2_FAIL_CONTROL","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/clk_125mhz","CHILD_CLOCK_NETWORK_ROW","8.000000","125.000000","2","<0.001","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","3.2 By Clock Domain","1","False","","","0.000000","0.001000","0.001000","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","288"
"FORMAL_PHASE2_FAIL_CONTROL","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/dclk_i_bufg.dclk_i","CHILD_CLOCK_NETWORK_ROW","8.000000","125.000000","145","<0.001","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","3.2 By Clock Domain","1","False","","","0.000000","0.001000","0.001000","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","289"
"FORMAL_PHASE2_FAIL_CONTROL","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/pclk_i1_bufgctrl.pclk_i1_0","CHILD_CLOCK_NETWORK_ROW","8.000000","125.000000","287","0.003","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","3.2 By Clock Domain","1","False","","0.003000","0.003000","0.003000","0.001000","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","290"
"FORMAL_PHASE2_FAIL_CONTROL","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/pclk_i1_bufgctrl.pclk_i1","CHILD_CLOCK_NETWORK_ROW","8.000000","125.000000","287","<0.001","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","3.2 By Clock Domain","1","False","","","0.000000","0.001000","0.001000","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","291"
"FORMAL_PHASE2_FAIL_CONTROL","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/clk_250mhz","ROOT_NOT_EXPLICIT_IN_REPORT_POWER","4.000000","250.000000","1","<0.001","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","3.2 By Clock Domain","0","True","PCIE_REFERENCE_OR_GT_CLOCKING","","0.000000","0.001000","0.001000","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","292"
"FORMAL_PHASE2_FAIL_CONTROL","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/clk_250mhz","CHILD_CLOCK_NETWORK_ROW","4.000000","250.000000","1","<0.001","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","3.2 By Clock Domain","1","False","","","0.000000","0.001000","0.001000","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","293"
"FORMAL_PHASE2_FAIL_CONTROL","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/mmcm_fb","ROOT_NOT_EXPLICIT_IN_REPORT_POWER","10.000000","100.000000","1","<0.001","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","3.2 By Clock Domain","0","True","PCIE_REFERENCE_OR_GT_CLOCKING","","0.000000","0.001000","0.001000","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","294"
"FORMAL_PHASE2_FAIL_CONTROL","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/mmcm_fb","CHILD_CLOCK_NETWORK_ROW","10.000000","100.000000","1","<0.001","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","3.2 By Clock Domain","1","False","","","0.000000","0.001000","0.001000","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","295"
"FORMAL_PHASE2_FAIL_CONTROL","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/userclk1","ROOT_NOT_EXPLICIT_IN_REPORT_POWER","16.000000","62.500000","15120","0.030","Low","SETTING_FILE=---;SAIF=---;DEFAULT_VECTORLESS_PROPAGATION;CLOCK=High:User specified more than 95% of clocks;IO=Low:More than 75% of inputs are missing user specification;INTERNAL=Medium:User specified less than 25% of internal nodes","3.2 By Clock Domain","0","True","PCIE_USER_AXI_NVP_AUTOINIT_CAPTURE_CONTROL_COMBINED","0.030000","0.030000","0.030000","0.001000","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\03_FORMAL_PHASE2\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","296"
