role,line,semantic_role,object,class,ref_name,orig_ref_name,ref_pin_name,direction,is_sequential,loc,bel,site,clock_region,async_reg,shreg_extract,dont_touch,keep,iob,parent_composite
"R1","SDA","IBUF_LEAF","NVP_SDA_IOBUF/IBUF","cell","IBUF","IBUF","","","0","IOB_X0Y19","IOB33.INBUF_EN","IOB_X0Y19","","","","","","","NVP_SDA_IOBUF"
"R1","SDA","OBUFT_LEAF","NVP_SDA_IOBUF/OBUFT","cell","OBUFT","OBUFT","","","0","IOB_X0Y19","IOB33.OUTBUF","IOB_X0Y19","","","","","","","NVP_SDA_IOBUF"
"R1","SDA","IOBUF_I_PIN","NVP_SDA_IOBUF/OBUFT/I","pin","OBUFT","","I","IN","","","","","","","","","","","NVP_SDA_IOBUF"
"R1","SDA","IOBUF_T_PIN","NVP_SDA_IOBUF/OBUFT/T","pin","OBUFT","","T","IN","","","","","","","","","","","NVP_SDA_IOBUF"
"R1","SDA","IOBUF_O_PIN","NVP_SDA_IOBUF/IBUF/O","pin","IBUF","","O","OUT","","","","","","","","","","","NVP_SDA_IOBUF"
"R1","SDA","I_CONSTANT_DRIVER","GND","cell","GND","GND","","","0","","","","","","","","","","NVP_SDA_IOBUF"
"R1","SDA","OEN_REGISTER","NVP_AUTOINIT/u_sequence/sda_oen_r_reg","cell","FDSE","FDSE","","","1","SLICE_X6Y32","SLICEM.BFF","SLICE_X6Y32","","","","","","","NVP_SDA_IOBUF"
"R1","SDA","OEN_Q","NVP_AUTOINIT/u_sequence/sda_oen_r_reg/Q","pin","FDSE","","Q","OUT","","","","","","","","","","","NVP_SDA_IOBUF"
"R1","SDA","OEN_D","NVP_AUTOINIT/u_sequence/sda_oen_r_reg/D","pin","FDSE","","D","IN","","","","","","","","","","","NVP_SDA_IOBUF"
"R1","SDA","SYNC0_REGISTER","NVP_AUTOINIT/u_sequence/sda_sync_r_reg[0]","cell","FDSE","FDSE","","","1","SLICE_X34Y32","SLICEM.BFF","SLICE_X34Y32","","1","NO","","yes","","NVP_SDA_IOBUF"
"R1","SDA","SYNC0_D","NVP_AUTOINIT/u_sequence/sda_sync_r_reg[0]/D","pin","FDSE","","D","IN","","","","","","","","","","","NVP_SDA_IOBUF"
"R1","SDA","SYNC0_Q","NVP_AUTOINIT/u_sequence/sda_sync_r_reg[0]/Q","pin","FDSE","","Q","OUT","","","","","","","","","","","NVP_SDA_IOBUF"
"R1","SDA","SYNC1_REGISTER","NVP_AUTOINIT/u_sequence/sda_sync_r_reg[1]","cell","FDSE","FDSE","","","1","SLICE_X34Y32","SLICEM.B5FF","SLICE_X34Y32","","1","NO","","yes","","NVP_SDA_IOBUF"
"R1","SDA","SYNC1_D","NVP_AUTOINIT/u_sequence/sda_sync_r_reg[1]/D","pin","FDSE","","D","IN","","","","","","","","","","","NVP_SDA_IOBUF"
"R1","SDA","SYNC1_Q","NVP_AUTOINIT/u_sequence/sda_sync_r_reg[1]/Q","pin","FDSE","","Q","OUT","","","","","","","","","","","NVP_SDA_IOBUF"
"R1","SDA","FILTERED_REGISTER","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg","cell","FDSE","FDSE","","","1","SLICE_X34Y32","SLICEM.A5FF","SLICE_X34Y32","","","","","","","NVP_SDA_IOBUF"
"R1","SDA","FILTERED_D","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/D","pin","FDSE","","D","IN","","","","","","","","","","","NVP_SDA_IOBUF"
"R1","SDA","FILTERED_Q","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/Q","pin","FDSE","","Q","OUT","","","","","","","","","","","NVP_SDA_IOBUF"
