role,path_class,delay_type,status,path_count,path_index,startpoint,end_point,path_group,datapath_delay_ns,logic_delay_ns,route_delay_ns,logic_levels,slack_ns,requirement_ns,is_unconstrained,routable_nets
"R1","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","min","TIMING_PATH_REPORTED","12","8","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[1]/CE","NOT_AVAILABLE","0.826","NOT_AVAILABLE","NOT_AVAILABLE","1","0.831","0.000","NOT_AVAILABLE","2"
"R1","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","min","TIMING_PATH_REPORTED","12","9","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[2]/CE","NOT_AVAILABLE","0.826","NOT_AVAILABLE","NOT_AVAILABLE","1","0.831","0.000","NOT_AVAILABLE","2"
"R1","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","min","TIMING_PATH_REPORTED","12","10","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[3]/CE","NOT_AVAILABLE","0.826","NOT_AVAILABLE","NOT_AVAILABLE","1","0.831","0.000","NOT_AVAILABLE","2"
"R1","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","min","TIMING_PATH_REPORTED","12","11","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[4]/CE","NOT_AVAILABLE","0.826","NOT_AVAILABLE","NOT_AVAILABLE","1","0.831","0.000","NOT_AVAILABLE","2"
"R1","SDA_OEN_REGISTER_Q_TO_IOBUF_T","max","PATH_NOT_FOUND","0","","","","","","","","","","","",""
"R1","SDA_OEN_REGISTER_Q_TO_IOBUF_T","min","PATH_NOT_FOUND","0","","","","","","","","","","","",""
"R1","SDA_CONTROL_TO_OEN_REGISTER_D","max","TIMING_PATH_REPORTED","1","0","NVP_AUTOINIT/u_sequence/FSM_onehot_state_reg[18]/C","NVP_AUTOINIT/u_sequence/sda_oen_r_reg/D","NOT_AVAILABLE","4.315","NOT_AVAILABLE","NOT_AVAILABLE","4","11.658","16.000","NOT_AVAILABLE","4"
"R1","SDA_CONTROL_TO_OEN_REGISTER_D","min","TIMING_PATH_REPORTED","1","0","NVP_AUTOINIT/u_sequence/FSM_onehot_state_reg[1]/C","NVP_AUTOINIT/u_sequence/sda_oen_r_reg/D","NOT_AVAILABLE","0.348","NOT_AVAILABLE","NOT_AVAILABLE","1","0.214","0.000","NOT_AVAILABLE","1"
"R1","SDA_CONTROL_TO_OEN_REGISTER_CE","max","TIMING_PATH_REPORTED","1","0","NVP_AUTOINIT/u_sequence/FSM_onehot_state_reg[18]/C","NVP_AUTOINIT/u_sequence/sda_oen_r_reg/CE","NOT_AVAILABLE","4.127","NOT_AVAILABLE","NOT_AVAILABLE","4","11.634","16.000","NOT_AVAILABLE","5"
"R1","SDA_CONTROL_TO_OEN_REGISTER_CE","min","TIMING_PATH_REPORTED","1","0","NVP_AUTOINIT/u_sequence/FSM_onehot_state_reg[28]/C","NVP_AUTOINIT/u_sequence/sda_oen_r_reg/CE","NOT_AVAILABLE","0.426","NOT_AVAILABLE","NOT_AVAILABLE","1","0.427","0.000","NOT_AVAILABLE","2"
"R1","SDA_IOBUF_O_TO_FIRST_SYNC_D","max","PATH_NOT_FOUND","0","","","","","","","","","","","",""
"R1","SDA_IOBUF_O_TO_FIRST_SYNC_D","min","PATH_NOT_FOUND","0","","","","","","","","","","","",""
"R1","SDA_SYNC0_Q_TO_SYNC1_D","max","TIMING_PATH_REPORTED","1","0","NVP_AUTOINIT/u_sequence/sda_sync_r_reg[0]/C","NVP_AUTOINIT/u_sequence/sda_sync_r_reg[1]/D","NOT_AVAILABLE","0.577","NOT_AVAILABLE","NOT_AVAILABLE","0","15.327","16.000","NOT_AVAILABLE","1"
"R1","SDA_SYNC0_Q_TO_SYNC1_D","min","TIMING_PATH_REPORTED","1","0","NVP_AUTOINIT/u_sequence/sda_sync_r_reg[0]/C","NVP_AUTOINIT/u_sequence/sda_sync_r_reg[1]/D","NOT_AVAILABLE","0.219","NOT_AVAILABLE","NOT_AVAILABLE","0","0.166","0.000","NOT_AVAILABLE","1"
"R1","SDA_SYNC1_TO_FILTER_LOGIC","max","TIMING_PATH_REPORTED","1","0","NVP_AUTOINIT/u_sequence/sda_sync_r_reg[1]/C","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/D","NOT_AVAILABLE","1.235","NOT_AVAILABLE","NOT_AVAILABLE","1","14.792","16.000","NOT_AVAILABLE","1"
"R1","SDA_SYNC1_TO_FILTER_LOGIC","min","TIMING_PATH_REPORTED","1","0","NVP_AUTOINIT/u_sequence/sda_sync_r_reg[1]/C","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/D","NOT_AVAILABLE","0.503","NOT_AVAILABLE","NOT_AVAILABLE","1","0.372","0.000","NOT_AVAILABLE","1"
"R1","SDA_FILTERED_TO_ACK_DECISION","max","TIMING_PATH_REPORTED","20","0","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/nack_log_r_reg[7][23]/CE","NOT_AVAILABLE","4.258","NOT_AVAILABLE","NOT_AVAILABLE","2","11.499","16.000","NOT_AVAILABLE","3"
"R1","SDA_FILTERED_TO_ACK_DECISION","max","TIMING_PATH_REPORTED","20","1","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/nack_log_r_reg[7][31]/CE","NOT_AVAILABLE","4.217","NOT_AVAILABLE","NOT_AVAILABLE","2","11.508","16.000","NOT_AVAILABLE","3"
"R1","SDA_FILTERED_TO_ACK_DECISION","max","TIMING_PATH_REPORTED","20","2","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/nack_log_r_reg[0][46]/CE","NOT_AVAILABLE","4.131","NOT_AVAILABLE","NOT_AVAILABLE","2","11.568","16.000","NOT_AVAILABLE","3"
"R1","SDA_FILTERED_TO_ACK_DECISION","max","TIMING_PATH_REPORTED","20","3","NVP_AUTOINIT/u_sequence/sda_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/nack_log_r_reg[5][27]/CE","NOT_AVAILABLE","3.797","NOT_AVAILABLE","NOT_AVAILABLE","2","11.699","16.000","NOT_AVAILABLE","3"
