"PATH_INDEX","SOURCE_CELL_DERIVED","DESTINATION_CELL_DERIVED","STARTPOINT_PIN","ENDPOINT_PIN","DATAPATH_DELAY","SLACK","REQUIREMENT","STARTPOINT_CLOCK","ENDPOINT_CLOCK","LOGIC_LEVELS","DELAY_TYPE","SKEW","UNCERTAINTY","ARRIVAL_TIME","CLOCK_PESSIMISM","DATAPATH_LOGIC_DELAY","DATAPATH_NET_DELAY","ENDPOINT_CLOCK_DELAY","ENDPOINT_CLOCK_EDGE","ENDPOINT_CLOCK_ROOT","INPUT_DELAY","OUTPUT_DELAY","STARTPOINT_CLOCK_DELAY","STARTPOINT_CLOCK_EDGE","STARTPOINT_CLOCK_ROOT","TIME_BORROWED_FROM_ENDPOINT","TIME_GIVEN_TO_STARTPOINT","USER_UNCERTAINTY"
"42","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.824","1.206","6.000","userclk1","nvp_vclk1","7","max","N/A","N/A","4.824","N/A","1.683","3.141","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"43","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.824","1.206","6.000","userclk1","nvp_vclk1","7","max","N/A","N/A","4.824","N/A","1.683","3.141","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"44","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.824","1.206","6.000","userclk1","nvp_vclk1","7","max","N/A","N/A","4.824","N/A","1.683","3.141","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"45","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.824","1.206","6.000","userclk1","nvp_vclk1","7","max","N/A","N/A","4.824","N/A","1.683","3.141","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"46","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.824","1.206","6.000","userclk1","nvp_vclk1","7","max","N/A","N/A","4.824","N/A","1.683","3.141","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"47","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.824","1.206","6.000","userclk1","nvp_vclk1","7","max","N/A","N/A","4.824","N/A","1.683","3.141","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"48","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.824","1.206","6.000","userclk1","nvp_vclk1","7","max","N/A","N/A","4.824","N/A","1.683","3.141","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"49","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.824","1.206","6.000","userclk1","nvp_vclk1","7","max","N/A","N/A","4.824","N/A","1.683","3.141","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"50","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.824","1.206","6.000","userclk1","nvp_vclk1","7","max","N/A","N/A","4.824","N/A","1.683","3.141","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"51","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.824","1.206","6.000","userclk1","nvp_vclk1","7","max","N/A","N/A","4.824","N/A","1.683","3.141","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"52","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.824","1.206","6.000","userclk1","nvp_vclk1","7","max","N/A","N/A","4.824","N/A","1.683","3.141","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"53","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.824","1.206","6.000","userclk1","nvp_vclk1","7","max","N/A","N/A","4.824","N/A","1.683","3.141","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"54","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.824","1.206","6.000","userclk1","nvp_vclk1","7","max","N/A","N/A","4.824","N/A","1.683","3.141","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"55","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.824","1.206","6.000","userclk1","nvp_vclk1","7","max","N/A","N/A","4.824","N/A","1.683","3.141","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"56","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.824","1.206","6.000","userclk1","nvp_vclk1","7","max","N/A","N/A","4.824","N/A","1.683","3.141","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"57","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.824","1.206","6.000","userclk1","nvp_vclk1","7","max","N/A","N/A","4.824","N/A","1.683","3.141","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"58","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.824","1.206","6.000","userclk1","nvp_vclk1","7","max","N/A","N/A","4.824","N/A","1.683","3.141","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
