"Name","Severity","Rule"
"CDC-1#279","CRITICAL","CDC-1"
"CDC-1#280","CRITICAL","CDC-1"
"CDC-1#281","CRITICAL","CDC-1"
"CDC-1#282","CRITICAL","CDC-1"
"CDC-1#283","CRITICAL","CDC-1"
"CDC-1#284","CRITICAL","CDC-1"
"CDC-1#285","CRITICAL","CDC-1"
"CDC-1#286","CRITICAL","CDC-1"
"CDC-1#287","CRITICAL","CDC-1"
"CDC-1#288","CRITICAL","CDC-1"
"CDC-1#289","CRITICAL","CDC-1"
"CDC-1#290","CRITICAL","CDC-1"
"CDC-1#291","CRITICAL","CDC-1"
"CDC-1#292","CRITICAL","CDC-1"
"CDC-1#293","CRITICAL","CDC-1"
"CDC-1#294","CRITICAL","CDC-1"
"CDC-1#295","CRITICAL","CDC-1"
"CDC-1#296","CRITICAL","CDC-1"
"CDC-1#297","CRITICAL","CDC-1"
"CDC-1#298","CRITICAL","CDC-1"
"CDC-1#299","CRITICAL","CDC-1"
"CDC-1#300","CRITICAL","CDC-1"
"CDC-1#301","CRITICAL","CDC-1"
"CDC-1#302","CRITICAL","CDC-1"
"CDC-1#303","CRITICAL","CDC-1"
"CDC-1#304","CRITICAL","CDC-1"
"CDC-1#305","CRITICAL","CDC-1"
"CDC-1#306","CRITICAL","CDC-1"
"CDC-1#307","CRITICAL","CDC-1"
"CDC-1#308","CRITICAL","CDC-1"
"CDC-1#309","CRITICAL","CDC-1"
"CDC-1#310","CRITICAL","CDC-1"
"CDC-1#311","CRITICAL","CDC-1"
"CDC-1#312","CRITICAL","CDC-1"
"CDC-1#313","CRITICAL","CDC-1"
"CDC-1#314","CRITICAL","CDC-1"
"CDC-1#315","CRITICAL","CDC-1"
"CDC-1#316","CRITICAL","CDC-1"
"CDC-1#317","CRITICAL","CDC-1"
"CDC-1#318","CRITICAL","CDC-1"
"CDC-1#319","CRITICAL","CDC-1"
"CDC-1#320","CRITICAL","CDC-1"
"CDC-1#321","CRITICAL","CDC-1"
"CDC-1#322","CRITICAL","CDC-1"
"CDC-1#323","CRITICAL","CDC-1"
"CDC-1#324","CRITICAL","CDC-1"
"CDC-1#325","CRITICAL","CDC-1"
"CDC-1#326","CRITICAL","CDC-1"
"CDC-1#327","CRITICAL","CDC-1"
"CDC-1#328","CRITICAL","CDC-1"
"CDC-1#329","CRITICAL","CDC-1"
"CDC-1#330","CRITICAL","CDC-1"
"CDC-1#331","CRITICAL","CDC-1"
"CDC-1#332","CRITICAL","CDC-1"
"CDC-1#333","CRITICAL","CDC-1"
"CDC-1#334","CRITICAL","CDC-1"
"CDC-1#335","CRITICAL","CDC-1"
