sample_index,relative_cycles_from_trigger,relative_time_ns,sda_stage1,sda_stage2,sda_filtered,scl_stage1,scl_stage2,scl_filtered,sda_drive_low,scl_drive_low,ack_decision_strobe,ack_value_used,first_nack_event,first_nack_latched,nvp_reset,vdd1_enable,vdd3_enable,init_active,bit_index,byte_phase,fsm_state,operation_index,current_tx_byte,init_done,init_error,first_error_code,first_error_valid,raw_hex
2103,-969,-15504,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2104,-968,-15488,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2105,-967,-15472,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2106,-966,-15456,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2107,-965,-15440,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2108,-964,-15424,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2109,-963,-15408,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2110,-962,-15392,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2111,-961,-15376,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2112,-960,-15360,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2113,-959,-15344,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2114,-958,-15328,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2115,-957,-15312,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2116,-956,-15296,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2117,-955,-15280,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
2118,-954,-15264,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,7,2,96,0,0,0,0,0x000600207010F087
