sample_index,relative_cycles_from_trigger,relative_time_ns,sda_stage1,sda_stage2,sda_filtered,scl_stage1,scl_stage2,scl_filtered,sda_drive_low,scl_drive_low,ack_decision_strobe,ack_value_used,first_nack_event,first_nack_latched,nvp_reset,vdd1_enable,vdd3_enable,init_active,bit_index,byte_phase,fsm_state,operation_index,current_tx_byte,init_done,init_error,first_error_code,first_error_valid,raw_hex
2117,-955,-15280,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2118,-954,-15264,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2119,-953,-15248,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2120,-952,-15232,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2121,-951,-15216,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2122,-950,-15200,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2123,-949,-15184,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2124,-948,-15168,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2125,-947,-15152,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2126,-946,-15136,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2127,-945,-15120,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2128,-944,-15104,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2129,-943,-15088,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2130,-942,-15072,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2131,-941,-15056,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2132,-940,-15040,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2133,-939,-15024,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2134,-938,-15008,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2135,-937,-14992,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2136,-936,-14976,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2137,-935,-14960,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2138,-934,-14944,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2139,-933,-14928,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2140,-932,-14912,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2141,-931,-14896,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2142,-930,-14880,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
