scan_index,cadence,generation,timestamp_utc_ns,host_duration_ns,scan_duration_ticks,entry_count,bank_group_count,transaction_count,expected_transaction_count,err_cnt_before,err_cnt_after,err_cnt_delta,nack_count,retried_entry_count,timeout_count,bank_verify_failure_count,incomplete_publication,snapshot_mutation,a8_pre,a8_post,snapshot_sha256,rolling_snapshot_sha256,projection,clean_105_transaction_scan,hard_stop
36,SAME_BACK_TO_BACK_CHARACTERIZATION,40,1789508045720094589,172998431,10552314,82,10,106,106,4,5,1,1,1,0,0,False,False,15,15,BA08698CE1B05B92A8FB9B9489CC7367AAEE33E1E8D0CE52E68875F2D60A1CE3,13E5429E5408BE77AA37A47A75D8B444C9CD451B88963675FF0C03C404AA7846,PASS,False,False
37,SAME_BACK_TO_BACK_CHARACTERIZATION,41,1789508045907753213,173545823,10499618,82,10,105,105,5,5,0,0,0,0,0,False,False,15,15,0669D2DB00E3F9C26C9FEA45F40361F3EC39CEB78084D11AD799F5B1BD624F7A,2EE4E22E0785F7590BD2A3E6EE215509524F79A51F7EC8A552DF81E648C13EB1,PASS,True,False
38,SAME_BACK_TO_BACK_CHARACTERIZATION,42,1789508046082947864,172762935,10605010,82,10,107,107,5,7,2,2,2,0,0,False,False,15,15,DAB93D4327DBB6A21174BCCFC730BA1FEDDE56E0F1A404BC8D8214F78DF57300,9C99A1D8E9CCF847F81D8280778EABD995CF0870DC52503D26E44CCB0DD91FB0,PASS,False,False
39,SAME_BACK_TO_BACK_CHARACTERIZATION,43,1789508046270745015,173778233,10499618,82,10,105,105,7,7,0,0,0,0,0,False,False,15,15,7D4AE1E259E0ADCBE87995A2D15EBA9159C22E70D3F3DE75E2A2AC7F0DEE2F3A,DEEBF005E729ABAB0DFC4C781EED6DB804CCD08E79E435560DCB8ABC32B8FAFD,PASS,True,False
40,SAME_BACK_TO_BACK_CHARACTERIZATION,44,1789508046446231746,172874352,10499618,82,10,105,105,7,7,0,0,0,0,0,False,False,15,15,D9CACE1DAD4A3BE2DFB829914C797D9EC671542307EED5CD93D05A2323275213,80FCC4620CB78B289D6927682CE15CE64CF414D10B3F5A861AD8666D03D76655,PASS,True,False
41,SAME_BACK_TO_BACK_CHARACTERIZATION,45,1789508046620802463,173490311,10499618,82,10,105,105,7,7,0,0,0,0,0,False,False,15,15,9139D89435D2EABD835A135029C90DD94244CA694BB1555F297163C5014C3A2B,C05DCFE826DCD3103518DF6F6D9CCDEC536A1E3E1683D64373E89EEA4D6CD17F,PASS,True,False
42,SAME_BACK_TO_BACK_CHARACTERIZATION,46,1789508046795878024,173045597,10552314,82,10,106,106,7,8,1,1,1,0,0,False,False,15,15,4C8E760B68A423ED75D707F7F237CF73FC7A95EB43121D723CE58B81A6D19338,2369AD819A911A0EACC86E5F7D36133C14D8D1430EC1B170A6D9B251F72713D7,PASS,False,False
43,SAME_BACK_TO_BACK_CHARACTERIZATION,47,1789508046983371382,173480361,10499618,82,10,105,105,8,8,0,0,0,0,0,False,False,15,15,38A60D28C65397C928A80013CD21A4547435204890E877D9F3A7E64B95DE8AE8,9AF76ABEA9036F780DF03F0C1ACBE525E20BF3350DE19AA9B17CA16683E9CA73,PASS,True,False
44,SAME_BACK_TO_BACK_CHARACTERIZATION,48,1789508047158110240,173451739,10499618,82,10,105,105,8,8,0,0,0,0,0,False,False,15,15,D93F2FF1AC15FFDF965B7D2C97A3BEF24CD29466E0E18CEF0B5EF2744476DA87,C8AC18D33D1B4AEC54A82EB8EB72E28A848334927AEAD800158962DA955DDB19,PASS,True,False
45,SAME_BACK_TO_BACK_CHARACTERIZATION,49,1789508047333273334,173426592,10499618,82,10,105,105,8,8,0,0,0,0,0,False,False,15,15,F908FD6DD26B01F409A93E4AF671EFFAC07A5DDDCEAAAA7EDE4AE61E02513D99,8942DA362710629DC7E322C14F4B664C14937CFBCB95071794A6473AE26D71F1,PASS,True,False
46,SAME_BACK_TO_BACK_CHARACTERIZATION,50,1789508047508410669,173447220,10499618,82,10,105,105,8,8,0,0,0,0,0,False,False,15,15,CBE342BF5654CD07D5745E8D3BC4A16856F7751298DFB32179A09E38CB50521C,9B0C936B82E35F4E5C004EF49CC9D89FEF3E2B129091BF6DDD54E0AE7F384A8F,PASS,True,False
47,SAME_BACK_TO_BACK_CHARACTERIZATION,51,1789508047683553635,172955532,10499618,82,10,105,105,8,8,0,0,0,0,0,False,False,15,15,8F71D24B98EAD51FB668DF2908F596531B4F6ED4AC444915DBED6D513814F429,DE4B3CF76EE661051998C27DEA254C4FCAE42BEA59F0B0014EFDCA5247F4286D,PASS,True,False
48,SAME_BACK_TO_BACK_CHARACTERIZATION,52,1789508047858142566,173154950,10499618,82,10,105,105,8,8,0,0,0,0,0,False,False,15,15,72D5DEBDE9A85D27F3386B675539A1D0F3DC956D9E1A5AB2A154902C0175D22D,BC8C00CBE9890A3DE74CDE8C0A885CE15C5B06644B272A925BF4F47EE0E36B0F,PASS,True,False
49,SAME_BACK_TO_BACK_CHARACTERIZATION,53,1789508048032994684,173450487,10499618,82,10,105,105,8,8,0,0,0,0,0,False,False,15,15,832B78E05E852864BEE05F9564D45CE2741F83019E9120C16D89193CD57E9927,4D38C480875A6B405E9B6DA1340850700127447FC8D72D5A0B4C9B1B1FDF5630,PASS,True,False
50,SAME_BACK_TO_BACK_CHARACTERIZATION,54,1789508048208341987,172427676,10499618,82,10,105,105,8,8,0,0,0,0,0,False,False,15,15,49396F520EF1C9CEBC2D097B48EA4BFA1DB3672F09DD77EF988CC8B682D35135,81194F1CB41C597E5DD819C589098273B8F6B4AF1271E5E3594926651AB7D3B9,PASS,True,False
51,SAME_BACK_TO_BACK_CHARACTERIZATION,55,1789508048382048367,173424278,10499618,82,10,105,105,8,8,0,0,0,0,0,False,False,15,15,52E53B0BFBDC9B5596DD1654EA0C281C97B44956D09378EAD1A1BDBD882CBE52,186D0E17AED45F23104FF247CDA54BDABC0C5C1808FAD112D29C2084BEC37076,PASS,True,False
52,SAME_BACK_TO_BACK_CHARACTERIZATION,56,1789508048557142242,173721648,10499618,82,10,105,105,8,8,0,0,0,0,0,False,False,15,15,F66E441ABEF90010C1DE979656683B13614127BDB66842E1E157319C36527BD7,332CC505F6341F90DF35C49128175D193568277E00DA676A178441B3F6CFE793,PASS,True,False
53,SAME_BACK_TO_BACK_CHARACTERIZATION,57,1789508048732421259,173360801,10499618,82,10,105,105,8,8,0,0,0,0,0,False,False,15,15,F904B441D080131D301AAAEB88D3B26E1F55BC67A43FA756204C3CEA8ADEEC44,A691AE94EE2B45571268CC473AC0C5DB44F5DCA0356BED9F2762AA306205B1E4,PASS,True,False
54,SAME_BACK_TO_BACK_CHARACTERIZATION,58,1789508048907474228,173077206,10499618,82,10,105,105,8,8,0,0,0,0,0,False,False,15,15,D6A089A407E80FAF958775D856EB1682AADF35E2C439F07900D91FA44267CF66,BBAA1B32EBBACDB9E803E599D2E43C6A40F740136B8EF3DF8966045EAC80F349,PASS,True,False
55,SAME_BACK_TO_BACK_CHARACTERIZATION,59,1789508049082233323,173347386,10499618,82,10,105,105,8,8,0,0,0,0,0,False,False,15,15,ED35831C3E5406DB9DE56BE35CD4419F65FE5171E25C0757C84B906F4B948EA2,BB0D467E4BC5C9FBE438962F433FA3AF2C6F5254140058DCCAE3832D81E1456E,PASS,True,False
56,SAME_BACK_TO_BACK_CHARACTERIZATION,60,1789508049256858762,173650756,10499618,82,10,105,105,8,8,0,0,0,0,0,False,False,15,15,1E621E5DDB98345CF3DDA178F3F085373A8F7BB1B53588FAF05AB461DEECB170,474AC92B907EF24DB55E1F8CBAE0D11893E0922A58A0F5CD91D63403CAD7D563,PASS,True,False
57,SAME_BACK_TO_BACK_CHARACTERIZATION,61,1789508049432218038,173501411,10499618,82,10,105,105,8,8,0,0,0,0,0,False,False,15,15,E41149861AFB79D59B3784ED3CB9A4A5484D65E7948E6E9B62DEF2BC8046619C,62CB048FD07728DE7FC217CFA63A9BD48966C0B5813F5242B8D5062D12105985,PASS,True,False
58,SAME_BACK_TO_BACK_CHARACTERIZATION,62,1789508049607373436,172715578,10552314,82,10,106,106,8,9,1,1,1,0,0,False,False,15,15,B8993780BB2C4BA89572F7F3B7B47EAF5B1AE086D389B0AD47BA9D283C25DB39,DBBF224C38F7C9BB731D01AB85A504FA5437C2DE639473C6030313BCA250FC71,PASS,False,False
59,SAME_BACK_TO_BACK_CHARACTERIZATION,63,1789508049792264293,173216824,10499618,82,10,105,105,9,9,0,0,0,0,0,False,False,15,15,862C0728E49CFBBA0340416AE5C99E9398735F86A3DAC16096DF9E54DC1AD4FE,ECD7DE10D9087E8B9BE19A59417145B6399EB4C5DA1D04AA2903F2FF4D661548,PASS,True,False
60,SAME_BACK_TO_BACK_CHARACTERIZATION,64,1789508049967206427,173475072,10499618,82,10,105,105,9,9,0,0,0,0,0,False,False,15,15,5519206BA57D0E8DDC12A70AA363BCDF00F4640090099FD82DBBB1FBC5836317,9EBD62C165EE018A4CFBEC72D6926314CC0A6965C2CF799AE123CFE2CCAB582E,PASS,True,False
61,SAME_BACK_TO_BACK_CHARACTERIZATION,65,1789508050142403423,173446220,10499618,82,10,105,105,9,9,0,0,0,0,0,False,False,15,15,7C09135FAF10401442F61B5D7B41469003685F12337058D0E53EED574D3BABB8,3BF5B496737733D6BCE94B6A6D5C0A2662E7C869A648AFECC98842CCBEA7FB1F,PASS,True,False
62,SAME_BACK_TO_BACK_CHARACTERIZATION,66,1789508050317581614,173513263,10499618,82,10,105,105,9,9,0,0,0,0,0,False,False,15,15,A13526D0ED4B134F95D80C0ADEB9B2D48A6C3BC4E63BB9ADB0CB267549B4D6B9,361766B283D7498CE379DC2CEA68E57D6CB9627AFD8B7B395D25AE3C5DDFDD0D,PASS,True,False
63,SAME_BACK_TO_BACK_CHARACTERIZATION,67,1789508050492830685,173504576,10499618,82,10,105,105,9,9,0,0,0,0,0,False,False,15,15,9513DB3CFF6F3FF79957A027FE06CF3EBAA07D41ECF8DDE3A342C62606A098A4,9E08E8CDBEC41CA32C18997E727E315CED369DBA0C5D2551B22797F8D749C284,PASS,True,False
64,SAME_BACK_TO_BACK_CHARACTERIZATION,68,1789508050668051725,173647191,10552314,82,10,106,106,9,10,1,1,1,0,0,False,False,15,15,49F8C2F0789210E395508339CFD5462F63CAB8845E68A191CB60A9D89D49B3A3,8193B8DEBE4F7192F89271B204DFB0B8C8E2B892B3B5709D715A24892E6FDC9A,PASS,False,False
