Sequence,Iteration,Phase,Operation,Offset,Value,DurationUs,Result
117,8,POST_CLEAR_ERROR,READ,0x3C14,0x00000000,8.446,PASS
118,8,POST_CLEAR_MAGIC,READ,0x3C00,0x4E565034,8.636,PASS
119,8,POST_CLEAR_VERSION,READ,0x3C04,0x00010002,8.446,PASS
120,8,POST_CLEAR_RESULT_VALID,READ,0x3D20,0x00000000,8.526,PASS
121,9,PRE_CLEAR_MAGIC,READ,0x3C00,0x4E565034,8.676,PASS
122,9,PRE_CLEAR_VERSION,READ,0x3C04,0x00010002,8.566,PASS
123,9,PRE_CLEAR_STATUS,READ,0x3C10,0x000000A0,8.486,PASS
124,9,PRE_CLEAR_STATE,READ,0x3C18,0x00000000,8.566,PASS
125,9,PRE_CLEAR_ERROR,READ,0x3C14,0x00000000,17.042,PASS
126,9,DIAG_CLEAR,WRITE,0x3C0C,0x00000001,7.174,PASS
127,9,POST_CLEAR_STATUS,READ,0x3C10,0x000000A0,8.596,PASS
128,9,POST_CLEAR_STATE,READ,0x3C18,0x00000000,8.506,PASS
129,9,POST_CLEAR_ERROR,READ,0x3C14,0x00000000,8.466,PASS
130,9,POST_CLEAR_MAGIC,READ,0x3C00,0x4E565034,8.686,PASS
131,9,POST_CLEAR_VERSION,READ,0x3C04,0x00010002,8.666,PASS
132,9,POST_CLEAR_RESULT_VALID,READ,0x3D20,0x00000000,8.466,PASS
133,10,PRE_CLEAR_MAGIC,READ,0x3C00,0x4E565034,8.696,PASS
134,10,PRE_CLEAR_VERSION,READ,0x3C04,0x00010002,8.526,PASS
135,10,PRE_CLEAR_STATUS,READ,0x3C10,0x000000A0,8.546,PASS
136,10,PRE_CLEAR_STATE,READ,0x3C18,0x00000000,8.455,PASS
137,10,PRE_CLEAR_ERROR,READ,0x3C14,0x00000000,8.466,PASS
138,10,DIAG_CLEAR,WRITE,0x3C0C,0x00000001,7.043,PASS
139,10,POST_CLEAR_STATUS,READ,0x3C10,0x000000A0,8.535,PASS
140,10,POST_CLEAR_STATE,READ,0x3C18,0x00000000,8.556,PASS
141,10,POST_CLEAR_ERROR,READ,0x3C14,0x00000000,8.466,PASS
142,10,POST_CLEAR_MAGIC,READ,0x3C00,0x4E565034,8.636,PASS
143,10,POST_CLEAR_VERSION,READ,0x3C04,0x00010002,8.716,PASS
144,10,POST_CLEAR_RESULT_VALID,READ,0x3D20,0x00000000,10.89,PASS
145,11,PRE_CLEAR_MAGIC,READ,0x3C00,0x4E565034,8.606,PASS
146,11,PRE_CLEAR_VERSION,READ,0x3C04,0x00010002,8.466,PASS
147,11,PRE_CLEAR_STATUS,READ,0x3C10,0x000000A0,8.536,PASS
148,11,PRE_CLEAR_STATE,READ,0x3C18,0x00000000,8.686,PASS
149,11,PRE_CLEAR_ERROR,READ,0x3C14,0x00000000,8.586,PASS
150,11,DIAG_CLEAR,WRITE,0x3C0C,0x00000001,7.124,PASS
151,11,POST_CLEAR_STATUS,READ,0x3C10,0x000000A0,8.516,PASS
152,11,POST_CLEAR_STATE,READ,0x3C18,0x00000000,8.486,PASS
153,11,POST_CLEAR_ERROR,READ,0x3C14,0x00000000,8.495,PASS
154,11,POST_CLEAR_MAGIC,READ,0x3C00,0x4E565034,8.626,PASS
155,11,POST_CLEAR_VERSION,READ,0x3C04,0x00010002,8.566,PASS
156,11,POST_CLEAR_RESULT_VALID,READ,0x3D20,0x00000000,8.536,PASS
157,12,PRE_CLEAR_MAGIC,READ,0x3C00,0x4E565034,8.516,PASS
158,12,PRE_CLEAR_VERSION,READ,0x3C04,0x00010002,8.556,PASS
159,12,PRE_CLEAR_STATUS,READ,0x3C10,0x000000A0,8.536,PASS
160,12,PRE_CLEAR_STATE,READ,0x3C18,0x00000000,8.525,PASS
161,12,PRE_CLEAR_ERROR,READ,0x3C14,0x00000000,8.506,PASS
162,12,DIAG_CLEAR,WRITE,0x3C0C,0x00000001,7.103,PASS
163,12,POST_CLEAR_STATUS,READ,0x3C10,0x000000A0,8.586,PASS
164,12,POST_CLEAR_STATE,READ,0x3C18,0x00000000,10.9,PASS
165,12,POST_CLEAR_ERROR,READ,0x3C14,0x00000000,8.676,PASS
166,12,POST_CLEAR_MAGIC,READ,0x3C00,0x4E565034,8.556,PASS
167,12,POST_CLEAR_VERSION,READ,0x3C04,0x00010002,8.536,PASS
168,12,POST_CLEAR_RESULT_VALID,READ,0x3D20,0x00000000,8.586,PASS
169,13,PRE_CLEAR_MAGIC,READ,0x3C00,0x4E565034,8.576,PASS
170,13,PRE_CLEAR_VERSION,READ,0x3C04,0x00010002,8.656,PASS
171,13,PRE_CLEAR_STATUS,READ,0x3C10,0x000000A0,8.937,PASS
172,13,PRE_CLEAR_STATE,READ,0x3C18,0x00000000,8.585,PASS
173,13,PRE_CLEAR_ERROR,READ,0x3C14,0x00000000,8.496,PASS
174,13,DIAG_CLEAR,WRITE,0x3C0C,0x00000001,13.325,PASS
175,13,POST_CLEAR_STATUS,READ,0x3C10,0x000000A0,8.606,PASS
176,13,POST_CLEAR_STATE,READ,0x3C18,0x00000000,8.626,PASS
177,13,POST_CLEAR_ERROR,READ,0x3C14,0x00000000,8.576,PASS
178,13,POST_CLEAR_MAGIC,READ,0x3C00,0x4E565034,8.576,PASS
179,13,POST_CLEAR_VERSION,READ,0x3C04,0x00010002,8.686,PASS
180,13,POST_CLEAR_RESULT_VALID,READ,0x3D20,0x00000000,8.787,PASS
181,14,PRE_CLEAR_MAGIC,READ,0x3C00,0x4E565034,8.726,PASS
182,14,PRE_CLEAR_VERSION,READ,0x3C04,0x00010002,8.546,PASS
183,14,PRE_CLEAR_STATUS,READ,0x3C10,0x000000A0,10.97,PASS
184,14,PRE_CLEAR_STATE,READ,0x3C18,0x00000000,8.555,PASS
185,14,PRE_CLEAR_ERROR,READ,0x3C14,0x00000000,8.586,PASS
186,14,DIAG_CLEAR,WRITE,0x3C0C,0x00000001,7.294,PASS
187,14,POST_CLEAR_STATUS,READ,0x3C10,0x000000A0,8.546,PASS
188,14,POST_CLEAR_STATE,READ,0x3C18,0x00000000,8.535,PASS
189,14,POST_CLEAR_ERROR,READ,0x3C14,0x00000000,8.526,PASS
190,14,POST_CLEAR_MAGIC,READ,0x3C00,0x4E565034,8.576,PASS
191,14,POST_CLEAR_VERSION,READ,0x3C04,0x00010002,8.596,PASS
192,14,POST_CLEAR_RESULT_VALID,READ,0x3D20,0x00000000,8.576,PASS
193,15,PRE_CLEAR_MAGIC,READ,0x3C00,0x4E565034,8.516,PASS
194,15,PRE_CLEAR_VERSION,READ,0x3C04,0x00010002,8.496,PASS
195,15,PRE_CLEAR_STATUS,READ,0x3C10,0x000000A0,8.465,PASS
196,15,PRE_CLEAR_STATE,READ,0x3C18,0x00000000,8.556,PASS
197,15,PRE_CLEAR_ERROR,READ,0x3C14,0x00000000,8.436,PASS
198,15,DIAG_CLEAR,WRITE,0x3C0C,0x00000001,7.134,PASS
199,15,POST_CLEAR_STATUS,READ,0x3C10,0x000000A0,8.666,PASS
200,15,POST_CLEAR_STATE,READ,0x3C18,0x00000000,8.456,PASS
