transaction_ordinal,operation,group_index,group_name,bank,entry_index,register,derived_or_verified
18,READ_MANIFEST_ENTRY,2,G0-LOCK,0x00,10,0x7B,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
19,SELECT_GROUP_BANK_WRITE,3,G0-CH,0x00,N/A,0xFF,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
20,VERIFY_GROUP_BANK_READ,3,G0-CH,0x00,N/A,0xFF,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
21,READ_MANIFEST_ENTRY,3,G0-CH,0x00,11,0xE8,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
22,READ_MANIFEST_ENTRY,3,G0-CH,0x00,12,0x81,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
23,READ_MANIFEST_ENTRY,3,G0-CH,0x00,13,0x85,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
24,READ_MANIFEST_ENTRY,3,G0-CH,0x00,14,0x23,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
25,READ_MANIFEST_ENTRY,3,G0-CH,0x00,15,0xE9,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
26,READ_MANIFEST_ENTRY,3,G0-CH,0x00,16,0x82,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
27,READ_MANIFEST_ENTRY,3,G0-CH,0x00,17,0x86,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
28,READ_MANIFEST_ENTRY,3,G0-CH,0x00,18,0x27,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
29,READ_MANIFEST_ENTRY,3,G0-CH,0x00,19,0xEA,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
30,READ_MANIFEST_ENTRY,3,G0-CH,0x00,20,0x83,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
31,READ_MANIFEST_ENTRY,3,G0-CH,0x00,21,0x87,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
32,READ_MANIFEST_ENTRY,3,G0-CH,0x00,22,0x2B,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
33,READ_MANIFEST_ENTRY,3,G0-CH,0x00,23,0xEB,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
34,READ_MANIFEST_ENTRY,3,G0-CH,0x00,24,0x84,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
35,READ_MANIFEST_ENTRY,3,G0-CH,0x00,25,0x88,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
36,READ_MANIFEST_ENTRY,3,G0-CH,0x00,26,0x2F,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
37,SELECT_GROUP_BANK_WRITE,4,G1,0x01,N/A,0xFF,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
38,VERIFY_GROUP_BANK_READ,4,G1,0x01,N/A,0xFF,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
39,READ_MANIFEST_ENTRY,4,G1,0x01,27,0x97,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
40,READ_MANIFEST_ENTRY,4,G1,0x01,28,0x98,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
41,READ_MANIFEST_ENTRY,4,G1,0x01,29,0x84,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
42,READ_MANIFEST_ENTRY,4,G1,0x01,30,0x8C,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
43,READ_MANIFEST_ENTRY,4,G1,0x01,31,0x85,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
44,READ_MANIFEST_ENTRY,4,G1,0x01,32,0x8D,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
45,READ_MANIFEST_ENTRY,4,G1,0x01,33,0x86,DERIVED_FROM_EXACT_FSM_AND_MANIFEST
