phase,scan,generation,channel,a8_bookend_stable,novid,lock_tuple,F0,F2,F3,F4,F5,private_metrics,raw_snapshot_sha256
CONNECTED,5,268,CH1,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0xC0,0x03,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,F2C418BAC19801B5DC3FF17805435A82F84922212B30A24AEDD996055621FCE2
CONNECTED,5,268,CH2,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,F2C418BAC19801B5DC3FF17805435A82F84922212B30A24AEDD996055621FCE2
CONNECTED,5,268,CH3,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,F2C418BAC19801B5DC3FF17805435A82F84922212B30A24AEDD996055621FCE2
CONNECTED,5,268,CH4,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,F2C418BAC19801B5DC3FF17805435A82F84922212B30A24AEDD996055621FCE2
CONNECTED,6,269,CH1,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0xC0,0x03,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,72B2141B60A681B8719D225F55358611D6523F772029E58E328C9D9E74C08B7B
CONNECTED,6,269,CH2,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,72B2141B60A681B8719D225F55358611D6523F772029E58E328C9D9E74C08B7B
CONNECTED,6,269,CH3,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,72B2141B60A681B8719D225F55358611D6523F772029E58E328C9D9E74C08B7B
CONNECTED,6,269,CH4,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,72B2141B60A681B8719D225F55358611D6523F772029E58E328C9D9E74C08B7B
CONNECTED,7,270,CH1,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0xC0,0x03,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,B4459EA0A63C22BF5D31AFFDD4412F95302D18AC39ADDE5B8C78FA8D6C55EB08
CONNECTED,7,270,CH2,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,B4459EA0A63C22BF5D31AFFDD4412F95302D18AC39ADDE5B8C78FA8D6C55EB08
CONNECTED,7,270,CH3,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,B4459EA0A63C22BF5D31AFFDD4412F95302D18AC39ADDE5B8C78FA8D6C55EB08
CONNECTED,7,270,CH4,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,B4459EA0A63C22BF5D31AFFDD4412F95302D18AC39ADDE5B8C78FA8D6C55EB08
CONNECTED,8,271,CH1,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0xC0,0x03,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,46215098BC189A51385480A7B922E5031DB7019AD75D4AC7FAB48986CA3A621F
CONNECTED,8,271,CH2,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,46215098BC189A51385480A7B922E5031DB7019AD75D4AC7FAB48986CA3A621F
CONNECTED,8,271,CH3,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,46215098BC189A51385480A7B922E5031DB7019AD75D4AC7FAB48986CA3A621F
CONNECTED,8,271,CH4,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,46215098BC189A51385480A7B922E5031DB7019AD75D4AC7FAB48986CA3A621F
CONNECTED,9,272,CH1,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0xC0,0x03,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,1A04462A5BADB64953870081D95B91481FEA41AB2DD1A301C498595C6EB7F5D9
CONNECTED,9,272,CH2,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,1A04462A5BADB64953870081D95B91481FEA41AB2DD1A301C498595C6EB7F5D9
CONNECTED,9,272,CH3,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,1A04462A5BADB64953870081D95B91481FEA41AB2DD1A301C498595C6EB7F5D9
CONNECTED,9,272,CH4,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,1A04462A5BADB64953870081D95B91481FEA41AB2DD1A301C498595C6EB7F5D9
CONNECTED,10,273,CH1,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0xC0,0x03,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,D3385A2CE39B951379680F317ADC84B7161B2AF8DD68299FD9A5CED660D3EF26
CONNECTED,10,273,CH2,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,D3385A2CE39B951379680F317ADC84B7161B2AF8DD68299FD9A5CED660D3EF26
CONNECTED,10,273,CH3,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,D3385A2CE39B951379680F317ADC84B7161B2AF8DD68299FD9A5CED660D3EF26
CONNECTED,10,273,CH4,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,D3385A2CE39B951379680F317ADC84B7161B2AF8DD68299FD9A5CED660D3EF26
RETURN_CONTROL,1,274,CH1,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,BF6DA6DFF4A0BE170AA39B01330EBDA2CAC5FC174FDA68FAD0522BFABCD84E91
RETURN_CONTROL,1,274,CH2,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,BF6DA6DFF4A0BE170AA39B01330EBDA2CAC5FC174FDA68FAD0522BFABCD84E91
RETURN_CONTROL,1,274,CH3,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,BF6DA6DFF4A0BE170AA39B01330EBDA2CAC5FC174FDA68FAD0522BFABCD84E91
RETURN_CONTROL,1,274,CH4,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,BF6DA6DFF4A0BE170AA39B01330EBDA2CAC5FC174FDA68FAD0522BFABCD84E91
RETURN_CONTROL,2,275,CH1,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,CCFFEEAFC0E2701880004BF976107CA270A3456DE46EE3738996DAAC6D90F0CF
RETURN_CONTROL,2,275,CH2,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,CCFFEEAFC0E2701880004BF976107CA270A3456DE46EE3738996DAAC6D90F0CF
RETURN_CONTROL,2,275,CH3,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,CCFFEEAFC0E2701880004BF976107CA270A3456DE46EE3738996DAAC6D90F0CF
RETURN_CONTROL,2,275,CH4,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,CCFFEEAFC0E2701880004BF976107CA270A3456DE46EE3738996DAAC6D90F0CF
RETURN_CONTROL,3,276,CH1,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,7CA5FA7DA62ECEB29F1C5B936146B774D4DDAF3D2FC1207B1E5D7808B8AA48AA
RETURN_CONTROL,3,276,CH2,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,7CA5FA7DA62ECEB29F1C5B936146B774D4DDAF3D2FC1207B1E5D7808B8AA48AA
RETURN_CONTROL,3,276,CH3,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,7CA5FA7DA62ECEB29F1C5B936146B774D4DDAF3D2FC1207B1E5D7808B8AA48AA
RETURN_CONTROL,3,276,CH4,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,7CA5FA7DA62ECEB29F1C5B936146B774D4DDAF3D2FC1207B1E5D7808B8AA48AA
RETURN_CONTROL,4,277,CH1,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,1679D0481E48B162A823D5DC9EFD701D69644DFE6FFDC5296154FB554C21DA20
RETURN_CONTROL,4,277,CH2,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,1679D0481E48B162A823D5DC9EFD701D69644DFE6FFDC5296154FB554C21DA20
RETURN_CONTROL,4,277,CH3,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,1679D0481E48B162A823D5DC9EFD701D69644DFE6FFDC5296154FB554C21DA20
RETURN_CONTROL,4,277,CH4,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,1679D0481E48B162A823D5DC9EFD701D69644DFE6FFDC5296154FB554C21DA20
RETURN_CONTROL,5,278,CH1,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,383EDCF7F6464D231737A8DDACF8B36FFA9E56CE732ABD070D03CC726B22D123
RETURN_CONTROL,5,278,CH2,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,383EDCF7F6464D231737A8DDACF8B36FFA9E56CE732ABD070D03CC726B22D123
RETURN_CONTROL,5,278,CH3,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,383EDCF7F6464D231737A8DDACF8B36FFA9E56CE732ABD070D03CC726B22D123
RETURN_CONTROL,5,278,CH4,TRUE,1,7A=0x11 7B=0x11 E0=0x00 E1=0x0F E2=0x00,0xFF,0x00,0x00,0x00,0x00,E2=0x07 E3=0xFF E8=0x00 E9=0x00 EA=0x00 EB=0x00,383EDCF7F6464D231737A8DDACF8B36FFA9E56CE732ABD070D03CC726B22D123
