scan,generation,entry_count,bank_group_count,transaction_count,chip_id,revision_id,chip_id_revision_valid,prohibited_reads,nack,timeout,bank_mismatch,incomplete_publication,snapshot_mutation_before_ack,a8_pre,a8_post,a8_changed,raw_sha256,decoded_sha256,raw_path,decoded_path,result
210,211,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,6C1FC3B5FE0286E131A0EA9C2C13FEAD60D72C9E7995C68CF565779EE1E60671,A22173BC5DB28D7F182679017E36A703524A0C7D80708326234DD9A9D2D53779,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0210.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0210.json,PASS
211,212,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,B80353C575D56B9C6780E1F1EAAB4A13817103F971F5CF213749667DFD65FE93,B3676FE86280203DD07123BA56EA7263E41C9B954F22DA77FDD3852A6A0087AA,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0211.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0211.json,PASS
212,213,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,51B6F8A7FBAF76C59B47193B1B01B842F00F55C2602ED43E2AED7AD2940CB8B8,829FF67B04A383455ACD02965F067A5AB85919DA760BD3F5EB2CD3BC78087069,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0212.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0212.json,PASS
213,214,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,1F8540233A2F284A2DA1F06515A5C56CC64F13126B60727E018DC28932889704,0429FB3F7FD3827B33C85FD2E1B66E172A380920112B292DAA1D1D38276A823B,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0213.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0213.json,PASS
214,215,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,C3595C63F64E36F31688392AA23301960B49B7FDBAF99A66A2B60EADAA1522AA,5F54E7F66246B4978F89DA7AC95C95D09CDF54D956D97C45424D7942E88D1B52,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0214.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0214.json,PASS
215,216,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,135E1999E1CE77B2DEE5D67A12FF3FED6A447100F88645D7DD8A980DE3C9F5DD,4E78F18A0C47F89B379D07C3EE22005C1AA6414D3C2F5BFAF685C9AF7CFB264C,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0215.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0215.json,PASS
216,217,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,209AE8B423C7F4D420B769007DF012ABE3F892A32614CC120B28F09AFCD4BDFC,FFFD69E83F91F770D193BFF8D042AF21F6A760E0406A44CCEB7FA8EBAADB819A,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0216.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0216.json,PASS
217,218,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,DC57CE4FA397354516622575AF8874E1F7B8B9E1F5FEE18F7E4EFE742EC4C944,746EE0106D0BCEF3CA12BA088DAFCF81A14B062DAD7A1B379C3023C3E5E58468,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0217.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0217.json,PASS
218,219,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,721F0063CE2E7EBAB8BC22E66F8C2877463365C57A55CC42040960541353B2D3,B7D0E61563DE01771B7491630B5CC8DA90AB6DB29F8A72E3ABB08623BB204F2E,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0218.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0218.json,PASS
219,220,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,88289CD52C63520EE7E669C38534AA8B81589A0F1CE252F51410CD46BA591BF4,EB20197F422435AD598A34F9BDAF1E3E910D6B58224FCC1D5620F518B1A425FD,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0219.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0219.json,PASS
220,221,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,35643431FAF98CC654D0F8B84338282C180D086F807B71AE2B78575C329CE4E8,6C2003E4FEB4565A8FBA06FBBEFA32CF8F0E7718855285AB30C547BCFDDE3D80,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0220.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0220.json,PASS
221,222,82,10,105,0x90,0x01,PASS,0,0,0,0,0,0,15,15,0,A827D096045D2B6178E893282CAA35AACE002C11DF99307C3166A5C8DC10BCB7,9F23622E1B85E242CB66D504438B8C3A75DF744B02E4FB10FD46BF9A71A13121,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0221.bin,/home/DUT_USER_REDACTED/vcde_artifacts/g2b_nvp_camera_scan1_r1r1/20260911T202728Z/scanner/repetition/scan-0221.json,PASS
