OBSERVER_OUTPUT,ENDPOINT,CLASSIFICATION
NVP_I2C_TRACE_OBSERVER/read_data[63],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[31]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[6],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[6]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[7],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[7]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[8],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[8]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/read_data[9],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[9]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_final_write_index[0],NVP_TRACE_HOST_READ_MUX/trace_read_address_reg[3]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_final_write_index[0],NVP_TRACE_HOST_READ_MUX/trace_read_address_reg[2]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_final_write_index[0],NVP_TRACE_HOST_READ_MUX/trace_read_address_reg[1]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_final_write_index[0],NVP_TRACE_HOST_READ_MUX/trace_read_address_reg[7]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_final_write_index[0],NVP_TRACE_HOST_READ_MUX/trace_read_address_reg[6]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_final_write_index[0],NVP_TRACE_HOST_READ_MUX/trace_read_address_reg[5]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_final_write_index[0],NVP_TRACE_HOST_READ_MUX/trace_read_address_reg[4]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_final_write_index[0],NVP_TRACE_HOST_READ_MUX/trace_read_address_reg[11]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_final_write_index[0],NVP_TRACE_HOST_READ_MUX/trace_read_address_reg[10]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_final_write_index[0],NVP_TRACE_HOST_READ_MUX/trace_read_address_reg[9]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_final_write_index[0],NVP_TRACE_HOST_READ_MUX/trace_read_address_reg[8]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_final_write_index[0],NVP_TRACE_HOST_READ_MUX/trace_read_address_reg[0]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_final_write_index[0],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[0]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_final_write_index[10],NVP_TRACE_HOST_READ_MUX/trace_read_address_reg[11]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_final_write_index[10],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[10]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_final_write_index[10],NVP_TRACE_HOST_READ_MUX/trace_read_address_reg[10]/D,READOUT_PATH
NVP_I2C_TRACE_OBSERVER/trace_final_write_index[11],NVP_TRACE_HOST_READ_MUX/diag_rsp_rdata_reg[11]/D,READOUT_PATH
