TimestampNs,Operation,Offset,Value,Purpose,Result
1789085821990238745,READ,0x3C44,0x00000000,PREPARE_A_READ_2,PASS
1789085821990242662,READ,0x3C48,0x00000088,PREPARE_A_READ_2,PASS
1789085821990246168,READ,0x3C4C,0x00000088,PREPARE_A_READ_2,PASS
1789085821990249915,READ,0x3C50,0x0000001A,PREPARE_A_READ_2,PASS
1789085821990253542,READ,0x3C54,0x00000000,PREPARE_A_READ_2,PASS
1789085821990257049,READ,0x3C58,0x00000000,PREPARE_A_READ_2,PASS
1789085821990260585,READ,0x3C5C,0x00000000,PREPARE_A_READ_2,PASS
1789085821990264142,READ,0x3C60,0x00000000,PREPARE_A_READ_2,PASS
1789085821990267608,READ,0x3C6C,0x00000001,PREPARE_A_READ_2,PASS
1789085821990271175,READ,0x3C70,0x00000000,PREPARE_A_READ_2,PASS
1789085821990274601,READ,0x3C10,0x000000A2,PREPARE_A_READ_2,PASS
1789085821990278118,READ,0x3C18,0x00000000,PREPARE_A_READ_2,PASS
1789085821990281574,READ,0x3C14,0x00000000,PREPARE_A_READ_2,PASS
1789085821990285231,READ,0x3C08,0x00000BFF,PREPARE_A_READ_2,PASS
1789085821996919415,READ,0x3C50,0x0000001A,PREPARE_B_START_COUNT,PASS
1789085821996925657,WRITE,0x3C0C,0x00000002,PREPARE_B,PASS
1789085821996931948,READ,0x3C10,0x00000043,PREPARE_B_WAIT_STATUS,PASS
1789085821996936336,READ,0x3C18,0x00000001,PREPARE_B_WAIT_STATE,PASS
1789085821996939602,READ,0x3C50,0x0000001B,PREPARE_B_WAIT_COUNT,PASS
1789085821999005572,READ,0x3C10,0x00000043,PREPARE_B_WAIT_STATUS,PASS
1789085821999010160,READ,0x3C18,0x00000001,PREPARE_B_WAIT_STATE,PASS
1789085821999013677,READ,0x3C50,0x0000001C,PREPARE_B_WAIT_COUNT,PASS
1789085822001077542,READ,0x3C10,0x00000043,PREPARE_B_WAIT_STATUS,PASS
1789085822001082161,READ,0x3C18,0x00000001,PREPARE_B_WAIT_STATE,PASS
1789085822001085777,READ,0x3C50,0x0000001D,PREPARE_B_WAIT_COUNT,PASS
1789085822003125097,READ,0x3C10,0x00000043,PREPARE_B_WAIT_STATUS,PASS
1789085822003129706,READ,0x3C18,0x00000001,PREPARE_B_WAIT_STATE,PASS
1789085822003133393,READ,0x3C50,0x0000001F,PREPARE_B_WAIT_COUNT,PASS
1789085822005200664,READ,0x3C10,0x00000043,PREPARE_B_WAIT_STATUS,PASS
1789085822005205042,READ,0x3C18,0x00000001,PREPARE_B_WAIT_STATE,PASS
1789085822005208509,READ,0x3C50,0x00000020,PREPARE_B_WAIT_COUNT,PASS
1789085822007319201,READ,0x3C10,0x00000043,PREPARE_B_WAIT_STATUS,PASS
1789085822007333958,READ,0x3C18,0x00000004,PREPARE_B_WAIT_STATE,PASS
1789085822007338597,READ,0x3C50,0x00000022,PREPARE_B_WAIT_COUNT,PASS
1789085822009433449,READ,0x3C10,0x00000043,PREPARE_B_WAIT_STATUS,PASS
1789085822009442696,READ,0x3C18,0x00000004,PREPARE_B_WAIT_STATE,PASS
1789085822009447375,READ,0x3C50,0x00000023,PREPARE_B_WAIT_COUNT,PASS
1789085822011542078,READ,0x3C10,0x00000043,PREPARE_B_WAIT_STATUS,PASS
1789085822011551445,READ,0x3C18,0x00000004,PREPARE_B_WAIT_STATE,PASS
1789085822011556124,READ,0x3C50,0x00000024,PREPARE_B_WAIT_COUNT,PASS
1789085822013650445,READ,0x3C10,0x00000043,PREPARE_B_WAIT_STATUS,PASS
1789085822013659803,READ,0x3C18,0x00000004,PREPARE_B_WAIT_STATE,PASS
1789085822013664441,READ,0x3C50,0x00000026,PREPARE_B_WAIT_COUNT,PASS
1789085822015821379,READ,0x3C10,0x00000043,PREPARE_B_WAIT_STATUS,PASS
1789085822015830686,READ,0x3C18,0x00000004,PREPARE_B_WAIT_STATE,PASS
1789085822015835374,READ,0x3C50,0x00000027,PREPARE_B_WAIT_COUNT,PASS
1789085822018425653,READ,0x3C10,0x00000043,PREPARE_B_WAIT_STATUS,PASS
1789085822018456520,READ,0x3C18,0x00000004,PREPARE_B_WAIT_STATE,PASS
1789085822018461630,READ,0x3C50,0x00000029,PREPARE_B_WAIT_COUNT,PASS
1789085822020602768,READ,0x3C10,0x00000043,PREPARE_B_WAIT_STATUS,PASS
1789085822020620160,READ,0x3C18,0x00000004,PREPARE_B_WAIT_STATE,PASS
1789085822020625269,READ,0x3C50,0x0000002A,PREPARE_B_WAIT_COUNT,PASS
1789085822022867485,READ,0x3C10,0x00000043,PREPARE_B_WAIT_STATUS,PASS
1789085822022897891,READ,0x3C18,0x00000004,PREPARE_B_WAIT_STATE,PASS
1789085822022904774,READ,0x3C50,0x0000002B,PREPARE_B_WAIT_COUNT,PASS
1789085822025266209,READ,0x3C10,0x00000043,PREPARE_B_WAIT_STATUS,PASS
1789085822025283591,READ,0x3C18,0x00000004,PREPARE_B_WAIT_STATE,PASS
1789085822025288550,READ,0x3C50,0x0000002D,PREPARE_B_WAIT_COUNT,PASS
1789085822027651579,READ,0x3C10,0x00000043,PREPARE_B_WAIT_STATUS,PASS
1789085822027668841,READ,0x3C18,0x00000004,PREPARE_B_WAIT_STATE,PASS
1789085822027673960,READ,0x3C50,0x0000002E,PREPARE_B_WAIT_COUNT,PASS
1789085822030037610,READ,0x3C10,0x00000043,PREPARE_B_WAIT_STATUS,PASS
1789085822030055183,READ,0x3C18,0x00000004,PREPARE_B_WAIT_STATE,PASS
1789085822030060372,READ,0x3C50,0x00000030,PREPARE_B_WAIT_COUNT,PASS
1789085822032421226,READ,0x3C10,0x00000043,PREPARE_B_WAIT_STATUS,PASS
1789085822032438769,READ,0x3C18,0x00000004,PREPARE_B_WAIT_STATE,PASS
1789085822032443898,READ,0x3C50,0x00000031,PREPARE_B_WAIT_COUNT,PASS
1789085822034564559,READ,0x3C10,0x00000043,PREPARE_B_WAIT_STATUS,PASS
1789085822034596648,READ,0x3C18,0x00000004,PREPARE_B_WAIT_STATE,PASS
1789085822034601627,READ,0x3C50,0x00000032,PREPARE_B_WAIT_COUNT,PASS
1789085822037072164,READ,0x3C10,0x00000043,PREPARE_B_WAIT_STATUS,PASS
1789085822037102240,READ,0x3C18,0x00000004,PREPARE_B_WAIT_STATE,PASS
1789085822037127006,READ,0x3C50,0x00000034,PREPARE_B_WAIT_COUNT,PASS
1789085822039452445,READ,0x3C10,0x000000A2,PREPARE_B_WAIT_STATUS,PASS
1789085822039477511,READ,0x3C18,0x00000000,PREPARE_B_WAIT_STATE,PASS
1789085822039483432,READ,0x3C50,0x00000034,PREPARE_B_WAIT_COUNT,PASS
1789085822039494443,READ,0x3C44,0x00000000,PREPARE_B_READ_1,PASS
1789085822039498761,READ,0x3C48,0x00000088,PREPARE_B_READ_1,PASS
1789085822039506605,READ,0x3C4C,0x00000088,PREPARE_B_READ_1,PASS
1789085822039510763,READ,0x3C50,0x00000034,PREPARE_B_READ_1,PASS
1789085822039514650,READ,0x3C54,0x00000000,PREPARE_B_READ_1,PASS
1789085822039518537,READ,0x3C58,0x00000000,PREPARE_B_READ_1,PASS
1789085822039522324,READ,0x3C5C,0x00000000,PREPARE_B_READ_1,PASS
1789085822039526101,READ,0x3C60,0x00000000,PREPARE_B_READ_1,PASS
1789085822039529898,READ,0x3C6C,0x00000001,PREPARE_B_READ_1,PASS
1789085822039533645,READ,0x3C70,0x00000000,PREPARE_B_READ_1,PASS
1789085822039537212,READ,0x3C10,0x000000A2,PREPARE_B_READ_1,PASS
1789085822039540869,READ,0x3C18,0x00000000,PREPARE_B_READ_1,PASS
1789085822039544876,READ,0x3C14,0x00000000,PREPARE_B_READ_1,PASS
1789085822039548993,READ,0x3C08,0x00000BFF,PREPARE_B_READ_1,PASS
1789085822039555195,READ,0x3C44,0x00000000,PREPARE_B_READ_2,PASS
1789085822039578338,READ,0x3C48,0x00000088,PREPARE_B_READ_2,PASS
1789085822039582095,READ,0x3C4C,0x00000088,PREPARE_B_READ_2,PASS
1789085822039585781,READ,0x3C50,0x00000034,PREPARE_B_READ_2,PASS
1789085822039589308,READ,0x3C54,0x00000000,PREPARE_B_READ_2,PASS
1789085822039595760,READ,0x3C58,0x00000000,PREPARE_B_READ_2,PASS
1789085822039603124,READ,0x3C5C,0x00000000,PREPARE_B_READ_2,PASS
1789085822039606880,READ,0x3C60,0x00000000,PREPARE_B_READ_2,PASS
1789085822039610557,READ,0x3C6C,0x00000001,PREPARE_B_READ_2,PASS
1789085822039614224,READ,0x3C70,0x00000000,PREPARE_B_READ_2,PASS
1789085822039617771,READ,0x3C10,0x000000A2,PREPARE_B_READ_2,PASS
1789085822039621357,READ,0x3C18,0x00000000,PREPARE_B_READ_2,PASS
1789085822039624894,READ,0x3C14,0x00000000,PREPARE_B_READ_2,PASS
1789085822039628511,READ,0x3C08,0x00000BFF,PREPARE_B_READ_2,PASS
1789085822054670849,WRITE,0x3C0C,0x00000004,START_4X4_SCAN,PASS
1789085822054694863,READ,0x3C10,0x00000143,SESSION_01_READY,PASS
1789085822065134864,READ,0x3C10,0x00000143,SESSION_01_READY,PASS
1789085822075558052,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822086180580,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822096608368,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822107026416,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822117443576,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822127885598,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822138313618,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822148740073,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822159211390,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822169648356,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822180069109,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822190576635,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822201012937,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822211425969,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822221844387,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822232282606,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822242705322,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822253152577,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822263762931,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822274181663,READ,0x3C10,0x00000143,SESSION_01_READY,PASS
1789085822284596526,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822295013233,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822305488259,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822315910876,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822326330690,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822336747936,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822347189741,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822357601609,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822368167283,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822378585993,READ,0x3C10,0x00000143,SESSION_01_READY,PASS
1789085822388997839,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822399415800,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822409578327,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822420000534,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822430560036,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822440980379,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822451394212,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822461812841,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822472284511,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822482700947,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822492888271,READ,0x3C10,0x00000143,SESSION_01_READY,PASS
1789085822503305227,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822513738266,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822524184797,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822534618507,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822545031957,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822555455628,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822565897811,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822576314429,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822586732698,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822597370795,READ,0x3C10,0x00000143,SESSION_01_READY,PASS
1789085822607795756,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822618212053,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822628628882,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822639086443,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822649538086,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822659960322,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822670568813,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822680992875,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822691401217,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822701818856,READ,0x3C10,0x000001C3,SESSION_01_READY,PASS
1789085822712290183,READ,0x3C10,0x00000187,SESSION_01_READY,PASS
1789085822712326470,READ,0x3D20,0x00000001,SNAPSHOT_VALID_PRE,PASS
1789085822712332151,READ,0x3D28,0x00000001,SNAPSHOT_GENERATION_PRE,PASS
1789085822712336919,READ,0x3D24,0x00000001,SNAPSHOT_SESSION_PRE,PASS
1789085822712343962,READ,0x3D00,0x02240001,SNAPSHOT_WORD_0,PASS
1789085822712351947,READ,0x3D04,0x00000605,SNAPSHOT_WORD_1,PASS
1789085822712358900,READ,0x3D08,0x0F000F00,SNAPSHOT_WORD_2,PASS
1789085822712363258,READ,0x3D0C,0x57461305,SNAPSHOT_WORD_3,PASS
1789085822712367486,READ,0x3D10,0x00020001,SNAPSHOT_WORD_4,PASS
1789085822712372435,READ,0x3D14,0x00000057,SNAPSHOT_WORD_5,PASS
1789085822712376733,READ,0x3D18,0x00000000,SNAPSHOT_WORD_6,PASS
1789085822712381652,READ,0x3D1C,0x00000000,SNAPSHOT_WORD_7,PASS
1789085822712386311,READ,0x3D28,0x00000001,SNAPSHOT_GENERATION_POST,PASS
1789085822712390198,READ,0x3D24,0x00000001,SNAPSHOT_SESSION_POST,PASS
1789085822712393895,READ,0x3D20,0x00000001,SNAPSHOT_VALID_POST,PASS
1789085822712398063,READ,0x3C20,0x00000001,SNAPSHOT_FIRMWARE_SESSION,PASS
1789085828472545100,READ,0x3D20,0x00000001,SNAPSHOT_VALID_PRE,PASS
1789085828472554317,READ,0x3D28,0x00000001,SNAPSHOT_GENERATION_PRE,PASS
1789085828472558865,READ,0x3D24,0x00000001,SNAPSHOT_SESSION_PRE,PASS
1789085828472563784,READ,0x3D00,0x02240001,SNAPSHOT_WORD_0,PASS
1789085828472568283,READ,0x3D04,0x00000605,SNAPSHOT_WORD_1,PASS
1789085828472572611,READ,0x3D08,0x0F000F00,SNAPSHOT_WORD_2,PASS
1789085828472576869,READ,0x3D0C,0x57461305,SNAPSHOT_WORD_3,PASS
1789085828472580756,READ,0x3D10,0x00020001,SNAPSHOT_WORD_4,PASS
1789085828472584643,READ,0x3D14,0x00000057,SNAPSHOT_WORD_5,PASS
1789085828472588691,READ,0x3D18,0x00000000,SNAPSHOT_WORD_6,PASS
1789085828472592558,READ,0x3D1C,0x00000000,SNAPSHOT_WORD_7,PASS
1789085828472596555,READ,0x3D28,0x00000001,SNAPSHOT_GENERATION_POST,PASS
1789085828472600552,READ,0x3D24,0x00000001,SNAPSHOT_SESSION_POST,PASS
1789085828472604269,READ,0x3D20,0x00000001,SNAPSHOT_VALID_POST,PASS
1789085828472608147,READ,0x3C20,0x00000001,SNAPSHOT_FIRMWARE_SESSION,PASS
1789085828472632862,READ,0x3C38,0x00000000,POST_CAPTURE_ROUTE,PASS
1789085828502725604,WRITE,0x3C34,0x00010009,HOST_CAPTURE_RESPONSE_PASS,PASS
1789085828502746032,READ,0x3C10,0x00000143,SESSION_01_ACKNOWLEDGED,PASS
1789085828502756852,READ,0x3D20,0x00000000,SESSION_01_VALID_CLEARED,PASS
1789085828502763785,READ,0x3C10,0x00000143,SESSION_02_READY,PASS
1789085828513158511,READ,0x3C10,0x000001C3,SESSION_02_READY,PASS
1789085828523569589,READ,0x3C10,0x000001C3,SESSION_02_READY,PASS
1789085828533988640,READ,0x3C10,0x000001C3,SESSION_02_READY,PASS
1789085828544414302,READ,0x3C10,0x000001C3,SESSION_02_READY,PASS
1789085828554835048,READ,0x3C10,0x000001C3,SESSION_02_READY,PASS
1789085828565249189,READ,0x3C10,0x000001C3,SESSION_02_READY,PASS
1789085828575446050,READ,0x3C10,0x000001C3,SESSION_02_READY,PASS
1789085828585860793,READ,0x3C10,0x000001C3,SESSION_02_READY,PASS
1789085828596274856,READ,0x3C10,0x000001C3,SESSION_02_READY,PASS
1789085828606743238,READ,0x3C10,0x000001C3,SESSION_02_READY,PASS
1789085828617191825,READ,0x3C10,0x000001C3,SESSION_02_READY,PASS
1789085828627610925,READ,0x3C10,0x000001C3,SESSION_02_READY,PASS
1789085828638214920,READ,0x3C10,0x000001C3,SESSION_02_READY,PASS
1789085828648634682,READ,0x3C10,0x000001C3,SESSION_02_READY,PASS
1789085828659044648,READ,0x3C10,0x000001C3,SESSION_02_READY,PASS
1789085828669457336,READ,0x3C10,0x000001C3,SESSION_02_READY,PASS
1789085828679939234,READ,0x3C10,0x000001C3,SESSION_02_READY,PASS
1789085828690355903,READ,0x3C10,0x000001C3,SESSION_02_READY,PASS
1789085828700791824,READ,0x3C10,0x000001C3,SESSION_02_READY,PASS
1789085828711206678,READ,0x3C10,0x00000143,SESSION_02_READY,PASS
1789085828721627233,READ,0x3C10,0x000001C3,SESSION_02_READY,PASS
1789085828732043017,READ,0x3C10,0x000001C3,SESSION_02_READY,PASS
1789085828742606995,READ,0x3C10,0x000001C3,SESSION_02_READY,PASS
1789085828753034384,READ,0x3C10,0x000001C3,SESSION_02_READY,PASS
1789085828763447883,READ,0x3C10,0x000001C3,SESSION_02_READY,PASS
1789085828774182971,READ,0x3C10,0x000001C3,SESSION_02_READY,PASS
1789085828784406751,READ,0x3C10,0x000001C3,SESSION_02_READY,PASS
1789085828794816627,READ,0x3C10,0x000001C3,SESSION_02_READY,PASS
1789085828805237640,READ,0x3C10,0x000001C3,SESSION_02_READY,PASS
1789085828815803332,READ,0x3C10,0x000001C3,SESSION_02_READY,PASS
1789085828826227173,READ,0x3C10,0x00000143,SESSION_02_READY,PASS
1789085828836644661,READ,0x3C10,0x000001C3,SESSION_02_READY,PASS
1789085828847060057,READ,0x3C10,0x000001C3,SESSION_02_READY,PASS
1789085828857482564,READ,0x3C10,0x000001C3,SESSION_02_READY,PASS
1789085828867900262,READ,0x3C10,0x000001C3,SESSION_02_READY,PASS
