ab_index,block_index,replica,mode_planned,mode_effective,block_id,scan_attempt_id,generation_before,generation_after,complete,first_entry_read_opportunities,regaddr_nack_events,other_recovered_causes,retried_entries,bank_restore,entry_count,group_count,transaction_count,fpga_ticks,fpga_duration_ms,host_start_ns,host_collected_ns,raw_sha256,legacy_raw_sha256,telemetry_raw_sha256,w3a_status,rejected_write_count
29,2,I,B,B,3271557378,30,29,30,1,82,0,0,0,PASS,82,10,105,10705868,171.293888,1789717500720084629,1789717500899813956,4F12ED3F249BD5B176CD38AA7DC60E1C623DFA5A4EAA99DFA6319CE0B540C54F,C07F3AA6D01306A8814EC1CFED494CDAFFEAAD7F7B2AFBD6E9F81322B48EA750,00C6F1154D8651051FFB884098EB5F2578AC7322A6D3A442A7EFFC045F7996F8,28,0
30,2,I,B,B,3271557378,31,30,31,1,82,0,0,0,PASS,82,10,105,10705868,171.293888,1789717500907184275,1789717501084608192,F2DC78E3564752686F5709572982087B165C83973F0B208AEB9DEEC6B6CDD831,3CFCD67A6ADE7712DD1410BF62D5F254BFD3C927CB9D2748517657AA70FBCB6C,3CC0D9371ABC7F5F3D5E337694B15CF171CBA671B6AF6970E008B088CAB14367,28,0
31,2,I,B,B,3271557378,32,31,32,1,82,0,0,0,PASS,82,10,105,10705868,171.293888,1789717501092118519,1789717501270294974,9AD44F6278ECBEFE4A45AE18C4EE7C72CA57DA636355C45BF29D5EA7C5A42556,562E3F8C5F99D6FCA6143A24AD58C581237642840F4483DF2926E9CE4D51DD1B,1969F8FAAB0E56FA33800595792E3F5493E1E2E9508114E879E1B4065F367058,28,0
32,2,I,B,B,3271557378,33,32,33,1,82,0,0,0,PASS,82,10,105,10705868,171.293888,1789717501277924240,1789717501455408780,B85F775491F238F46B97F1B0A0B77E51C0A4919AF6BFF366D3B947C4F5E4C916,7A986818D27359974756BB147CCF0617A6D463B904716A97639E38D14A006F4E,299F0B8F9DB7BE851406EE02054C051DDC95D368BB048BB89881D3FEB0586227,28,0
33,3,I,B,B,3271557379,34,33,34,1,82,0,0,0,PASS,82,10,105,10705868,171.293888,1789717502614209419,1789717502792877459,3B3B62A907EA2D0CBE02D7CF1CFE0A06FFFCB00BBE3E278BB5E5EA217904C614,F001EEE913A10AAF3F3396EBEC496E4F14C255B0FBDC100B9AD5B3755D5AA740,D6594AE65EA3D61B75072A89C76B55EF20A3E44505D0CAE29AD3226C6303361A,28,0
34,3,I,B,B,3271557379,35,34,35,1,82,0,0,0,PASS,82,10,105,10705868,171.293888,1789717502803650943,1789717502981516705,041DA0B342498A6C06549E365DFD7AA9B1C71B3C4FA1F8FB9E851C2DE4F7D0CF,07532517885825561E63E48B967F71D3E456A6FE52DE0DAB5A8A5EFC19389B66,547D4BAE6691CAA9BDC74D53E22477EA24B686FC332F679B501184EA3C33062C,28,0
35,3,I,B,B,3271557379,36,35,36,1,82,0,0,0,PASS,82,10,105,10705868,171.293888,1789717502988657972,1789717503166087228,3FFC57F504822F40DA4F641D6101A45DA4796C56EF6E381E68EF673CE4626E15,28D0D7A74A326B6E41C3BFBF06F0849197A54A974A16AD416E272188C75A6B64,60DF8F5FCD7948697427697275D02AF31533D491875D42CF989336243DA97C91,28,0
36,3,I,B,B,3271557379,37,36,37,1,82,0,0,0,PASS,82,10,105,10705868,171.293888,1789717503173679056,1789717503352582080,40969A841DDB7BEC82A0DCF721C58460994EAF90D9CCDD4E99A6B5C227413B05,E9013559720BB2A0059B12CAAD8999883C94A21A3C7D6769EBFC7AC5D24F07FD,7C1147C2F47CE7F50DBABB7C423ADE6131CAC082BAA07C9B191E0A7B8A768BF9,28,0
37,3,I,B,B,3271557379,38,37,38,1,82,0,0,0,PASS,82,10,105,10705868,171.293888,1789717503359738805,1789717503537391234,0598DDD6D77F773B992543040D0F8AF163DB24D014965141868098C489294E0D,3CF9B20850569DA6FCA317E9044FC6907FBA2E1D0C1E27FAB3BB8380C328B0CD,D305B3997D40768E2927AC8C9421C2E71F23BEBBEA82747B2442D9B510DDCF77,28,0
38,3,I,B,B,3271557379,39,38,39,1,82,0,0,0,PASS,82,10,105,10705868,171.293888,1789717503544194066,1789717503722168980,0068CAEBFD76339D70E1669E37231E3CA914F2F6B3105528D20169D2B889B5D4,90529E67BC704B0B7C4D3EF0CCF7D8D2BAEE274124150FC13F95B3D707FF63A4,7A33B5C121D267A4D5BA6B992F4890CBA15FA69B8D63B8A614EDA5340FEC2B49,28,0
39,3,I,B,B,3271557379,40,39,40,1,82,0,0,0,PASS,82,10,105,10705868,171.293888,1789717503729349439,1789717503908203523,4B8B3095866520AFFB65589217DF7B9ABA8BD0C0C0B4AE2D180ED979F1141320,FF8746AA4DE2F864BC49C7C2D9911F268CCAACFAD07A8F87074F2F30D8962A91,7ACFABE4406C6F1E1A54212CACDE2FF0C79D2853F3A5D1421AE1CB3D56C52452,28,0
40,3,I,B,B,3271557379,41,40,41,1,82,0,0,0,PASS,82,10,105,10705868,171.293888,1789717503915624485,1789717504094270435,4322DF9BB603F3F4BC5B49BDC7862F599F2E917F6AE9DB6E9EBA82140B99546B,02A5AFE0C44A0FB18138571BD9DC8CF1B1B5741DA45F49449D7855D5943BED01,0582FE339CD2F0BED2A592E249038753BCC20D488455270E6F2C02588262F7F0,28,0
41,3,I,B,B,3271557379,42,41,42,1,82,0,0,0,PASS,82,10,105,10705868,171.293888,1789717504101735979,1789717504279892978,05F5AA92D12C2DF2111CCCCA43FD93C5C189F13785CE4C7EAF46174C239836E3,2A666A5B2EA4B036B8FA99AD64680AF799E37C668F05B69E5AB1364E8FD5EC39,16C9B3A13437B91B04F889169F80E9E8C4469645D93FD2CAEAC793DF42706120,28,0
42,3,I,B,B,3271557379,43,42,43,1,82,0,0,0,PASS,82,10,105,10705868,171.293888,1789717504287603345,1789717504465060161,8EC057AD77AA6824333F1701A3A5B20D6B4E435EC0175B638E5ADF47BFC8DD80,B1EA6C6CD97513A4D65270F5245E783441C9E3A59DEF9598F4F946370C3BA063,317774FCCD74F3978FFA46F8E7164AB74EA158C834C6B3028C1E103AB8E4F24D,28,0
43,3,I,B,B,3271557379,44,43,44,1,82,0,0,0,PASS,82,10,105,10705868,171.293888,1789717504472563144,1789717504651004986,27CB9E15A6CCA01920522F449C5AECB76E049058E537C168CFCC8CFB171F5CEE,9B01CAC4282A5D72E97EA64C413984106398D7DD1004754E9F3DDDC5B48BC4EE,B24EC0DA2E67162342CF34460B4CEFC4DAEB3621E2334FB0A2DF1E8A03668DCC,28,0
44,3,I,B,B,3271557379,45,44,45,1,82,0,0,0,PASS,82,10,105,10705868,171.293888,1789717504658365447,1789717504835970068,E681022B9AC24961C287937D5E3E2A1C4ED1227A11180AD44A5AC9CDE06263EB,75562342709831CCF2D64DF2FB21E049346F352621E5348D27766903E0592A74,C11EB9010CFC44CDD6B785D51F29088857FC85F4D3719FE24CB3AB5D80BD657D,28,0
