ROLE,FAMILY,OBJECT_NAME,CLOCKS,SEMANTIC_SCOPE
SOURCE,RELEASE_SLOT0_GENERATION_MATCH,"G2B_ONECH_C2H/release_generation_axi_reg[0][23]","userclk1",YES
SOURCE,RELEASE_SLOT0_EPOCH_MATCH,"G2B_ONECH_C2H/release_epoch_axi_reg[0][0]","userclk1",YES
SOURCE,RELEASE_SLOT0_EPOCH_MATCH,"G2B_ONECH_C2H/release_epoch_axi_reg[0][1]","userclk1",YES
SOURCE,RELEASE_SLOT0_EPOCH_MATCH,"G2B_ONECH_C2H/release_epoch_axi_reg[0][2]","userclk1",YES
SOURCE,RELEASE_SLOT0_EPOCH_MATCH,"G2B_ONECH_C2H/release_epoch_axi_reg[0][3]","userclk1",YES
SOURCE,RELEASE_SLOT0_EPOCH_MATCH,"G2B_ONECH_C2H/release_epoch_axi_reg[0][4]","userclk1",YES
SOURCE,RELEASE_SLOT0_EPOCH_MATCH,"G2B_ONECH_C2H/release_epoch_axi_reg[0][5]","userclk1",YES
SOURCE,RELEASE_SLOT0_EPOCH_MATCH,"G2B_ONECH_C2H/release_epoch_axi_reg[0][6]","userclk1",YES
SOURCE,RELEASE_SLOT0_EPOCH_MATCH,"G2B_ONECH_C2H/release_epoch_axi_reg[0][7]","userclk1",YES
SOURCE,RELEASE_SLOT0_EPOCH_MATCH,"G2B_ONECH_C2H/release_epoch_axi_reg[0][8]","userclk1",YES
SOURCE,RELEASE_SLOT0_EPOCH_MATCH,"G2B_ONECH_C2H/release_epoch_axi_reg[0][9]","userclk1",YES
SOURCE,RELEASE_SLOT0_EPOCH_MATCH,"G2B_ONECH_C2H/release_epoch_axi_reg[0][10]","userclk1",YES
SOURCE,RELEASE_SLOT0_EPOCH_MATCH,"G2B_ONECH_C2H/release_epoch_axi_reg[0][11]","userclk1",YES
SOURCE,RELEASE_SLOT0_EPOCH_MATCH,"G2B_ONECH_C2H/release_epoch_axi_reg[0][12]","userclk1",YES
SOURCE,RELEASE_SLOT0_EPOCH_MATCH,"G2B_ONECH_C2H/release_epoch_axi_reg[0][13]","userclk1",YES
SOURCE,RELEASE_SLOT0_EPOCH_MATCH,"G2B_ONECH_C2H/release_epoch_axi_reg[0][14]","userclk1",YES
SOURCE,RELEASE_SLOT0_EPOCH_MATCH,"G2B_ONECH_C2H/release_epoch_axi_reg[0][15]","userclk1",YES
SOURCE,RELEASE_SLOT0_EPOCH_MATCH,"G2B_ONECH_C2H/release_epoch_axi_reg[0][16]","userclk1",YES
SOURCE,RELEASE_SLOT0_EPOCH_MATCH,"G2B_ONECH_C2H/release_epoch_axi_reg[0][17]","userclk1",YES
SOURCE,RELEASE_SLOT0_EPOCH_MATCH,"G2B_ONECH_C2H/release_epoch_axi_reg[0][18]","userclk1",YES
SOURCE,RELEASE_SLOT0_EPOCH_MATCH,"G2B_ONECH_C2H/release_epoch_axi_reg[0][19]","userclk1",YES
SOURCE,RELEASE_SLOT0_EPOCH_MATCH,"G2B_ONECH_C2H/release_epoch_axi_reg[0][20]","userclk1",YES
SOURCE,RELEASE_SLOT0_EPOCH_MATCH,"G2B_ONECH_C2H/release_epoch_axi_reg[0][21]","userclk1",YES
SOURCE,RELEASE_SLOT0_EPOCH_MATCH,"G2B_ONECH_C2H/release_epoch_axi_reg[0][22]","userclk1",YES
SOURCE,RELEASE_SLOT0_EPOCH_MATCH,"G2B_ONECH_C2H/release_epoch_axi_reg[0][23]","userclk1",YES
SOURCE,RELEASE_SLOT0_EPOCH_MATCH,"G2B_ONECH_C2H/release_epoch_axi_reg[0][24]","userclk1",YES
SOURCE,RELEASE_SLOT0_EPOCH_MATCH,"G2B_ONECH_C2H/release_epoch_axi_reg[0][25]","userclk1",YES
SOURCE,RELEASE_SLOT0_EPOCH_MATCH,"G2B_ONECH_C2H/release_epoch_axi_reg[0][26]","userclk1",YES
SOURCE,RELEASE_SLOT0_EPOCH_MATCH,"G2B_ONECH_C2H/release_epoch_axi_reg[0][27]","userclk1",YES
SOURCE,RELEASE_SLOT0_EPOCH_MATCH,"G2B_ONECH_C2H/release_epoch_axi_reg[0][28]","userclk1",YES
SOURCE,RELEASE_SLOT0_EPOCH_MATCH,"G2B_ONECH_C2H/release_epoch_axi_reg[0][29]","userclk1",YES
SOURCE,RELEASE_SLOT0_EPOCH_MATCH,"G2B_ONECH_C2H/release_epoch_axi_reg[0][30]","userclk1",YES
SOURCE,RELEASE_SLOT0_EPOCH_MATCH,"G2B_ONECH_C2H/release_epoch_axi_reg[0][31]","userclk1",YES
DESTINATION,RELEASE_SLOT0_MISMATCH_CONTAINMENT,"G2B_ONECH_C2H/enable_applied_source_reg","nvp_vclk1",YES
DESTINATION,CURRENT_GROUP14_IRRELEVANT_ENDPOINT,"G2B_ONECH_C2H/release_seen_source_reg[0]","nvp_vclk1",NO
DESTINATION,CURRENT_GROUP14_IRRELEVANT_ENDPOINT,"G2B_ONECH_C2H/release_seen_source_reg[1]","nvp_vclk1",NO
DESTINATION,CURRENT_GROUP14_IRRELEVANT_ENDPOINT,"G2B_ONECH_C2H/release_seen_source_reg[2]","nvp_vclk1",NO
DESTINATION,CURRENT_GROUP14_IRRELEVANT_ENDPOINT,"G2B_ONECH_C2H/release_seen_source_reg[3]","nvp_vclk1",NO
DESTINATION,RELEASE_SLOT0_NORMAL_STATE_TRANSITION,"G2B_ONECH_C2H/slot_state_source_reg[0][0]","nvp_vclk1",YES
DESTINATION,RELEASE_SLOT0_NORMAL_STATE_TRANSITION,"G2B_ONECH_C2H/slot_state_source_reg[0][1]","nvp_vclk1",YES
DESTINATION,RELEASE_SLOT0_NORMAL_STATE_TRANSITION,"G2B_ONECH_C2H/slot_state_source_reg[0][2]","nvp_vclk1",YES
DESTINATION,CURRENT_GROUP14_IRRELEVANT_ENDPOINT,"G2B_ONECH_C2H/slot_state_source_reg[1][0]","nvp_vclk1",NO
DESTINATION,CURRENT_GROUP14_IRRELEVANT_ENDPOINT,"G2B_ONECH_C2H/slot_state_source_reg[1][1]","nvp_vclk1",NO
DESTINATION,CURRENT_GROUP14_IRRELEVANT_ENDPOINT,"G2B_ONECH_C2H/slot_state_source_reg[1][2]","nvp_vclk1",NO
DESTINATION,CURRENT_GROUP14_IRRELEVANT_ENDPOINT,"G2B_ONECH_C2H/slot_state_source_reg[2][0]","nvp_vclk1",NO
DESTINATION,CURRENT_GROUP14_IRRELEVANT_ENDPOINT,"G2B_ONECH_C2H/slot_state_source_reg[2][1]","nvp_vclk1",NO
DESTINATION,CURRENT_GROUP14_IRRELEVANT_ENDPOINT,"G2B_ONECH_C2H/slot_state_source_reg[2][2]","nvp_vclk1",NO
DESTINATION,CURRENT_GROUP14_IRRELEVANT_ENDPOINT,"G2B_ONECH_C2H/slot_state_source_reg[3][0]","nvp_vclk1",NO
DESTINATION,CURRENT_GROUP14_IRRELEVANT_ENDPOINT,"G2B_ONECH_C2H/slot_state_source_reg[3][1]","nvp_vclk1",NO
DESTINATION,CURRENT_GROUP14_IRRELEVANT_ENDPOINT,"G2B_ONECH_C2H/slot_state_source_reg[3][2]","nvp_vclk1",NO
DESTINATION,RELEASE_SLOT0_MISMATCH_CONTAINMENT,"G2B_ONECH_C2H/source_ownership_fatal_deferred_reg","nvp_vclk1",YES
DESTINATION,RELEASE_SLOT0_MISMATCH_CONTAINMENT,"G2B_ONECH_C2H/source_ownership_fatal_event_reg","nvp_vclk1",YES
DESTINATION,RELEASE_SLOT0_MISMATCH_CONTAINMENT,"G2B_ONECH_C2H/source_ownership_fatal_reg","nvp_vclk1",YES
DESTINATION,RELEASE_SLOT0_RESET_OVERLAP_ACCOUNTING,"G2B_ONECH_C2H/reset_abandoned_hold_source_reg[0]","nvp_vclk1",YES
DESTINATION,RELEASE_SLOT0_RESET_OVERLAP_ACCOUNTING,"G2B_ONECH_C2H/reset_abandoned_hold_source_reg[1]","nvp_vclk1",YES
DESTINATION,RELEASE_SLOT0_RESET_OVERLAP_ACCOUNTING,"G2B_ONECH_C2H/reset_abandoned_hold_source_reg[2]","nvp_vclk1",YES
