Property                                  Type    Read-only  Value
PM_CAP_ID                                 hex     false      8'h01
PM_CAP_NEXTPTR                            hex     false      8'h48
PM_CAP_ON                                 string  false      TRUE
PM_CAP_PMESUPPORT                         hex     false      5'h0F
PM_CAP_PME_CLOCK                          string  false      FALSE
PM_CAP_RSVD_04                            int     false      0
PM_CAP_VERSION                            int     false      3
PM_CSR_B2B3                               string  false      FALSE
PM_CSR_BPCCEN                             string  false      FALSE
PM_CSR_NOSOFTRST                          string  false      TRUE
PM_DATA0                                  hex     false      8'h00
PM_DATA1                                  hex     false      8'h00
PM_DATA2                                  hex     false      8'h00
PM_DATA3                                  hex     false      8'h00
PM_DATA4                                  hex     false      8'h00
PM_DATA5                                  hex     false      8'h00
PM_DATA6                                  hex     false      8'h00
PM_DATA7                                  hex     false      8'h00
PM_DATA_SCALE0                            hex     false      2'h0
PM_DATA_SCALE1                            hex     false      2'h0
PM_DATA_SCALE2                            hex     false      2'h0
PM_DATA_SCALE3                            hex     false      2'h0
PM_DATA_SCALE4                            hex     false      2'h0
PM_DATA_SCALE5                            hex     false      2'h0
PM_DATA_SCALE6                            hex     false      2'h0
PM_DATA_SCALE7                            hex     false      2'h0
PM_MF                                     string  false      FALSE
PRIMITIVE_COUNT                           int     true       1
PRIMITIVE_GROUP                           enum    true       HARD_IP
PRIMITIVE_LEVEL                           enum    true       LEAF
PRIMITIVE_SUBGROUP                        enum    true       pcie
PRIMITIVE_TYPE                            enum    true       HARD_IP.pcie.PCIE_2_1
RBAR_BASE_PTR                             hex     false      12'h000
RBAR_CAP_CONTROL_ENCODEDBAR0              hex     false      5'h00
RBAR_CAP_CONTROL_ENCODEDBAR1              hex     false      5'h00
RBAR_CAP_CONTROL_ENCODEDBAR2              hex     false      5'h00
RBAR_CAP_CONTROL_ENCODEDBAR3              hex     false      5'h00
RBAR_CAP_CONTROL_ENCODEDBAR4              hex     false      5'h00
RBAR_CAP_CONTROL_ENCODEDBAR5              hex     false      5'h00
RBAR_CAP_ID                               hex     false      16'h0015
RBAR_CAP_INDEX0                           hex     false      3'h0
RBAR_CAP_INDEX1                           hex     false      3'h0
RBAR_CAP_INDEX2                           hex     false      3'h0
RBAR_CAP_INDEX3                           hex     false      3'h0
RBAR_CAP_INDEX4                           hex     false      3'h0
RBAR_CAP_INDEX5                           hex     false      3'h0
RBAR_CAP_NEXTPTR                          hex     false      12'h000
RBAR_CAP_ON                               string  false      FALSE
RBAR_CAP_SUP0                             hex     false      32'h00000001
RBAR_CAP_SUP1                             hex     false      32'h00000001
RBAR_CAP_SUP2                             hex     false      32'h00000001
RBAR_CAP_SUP3                             hex     false      32'h00000001
RBAR_CAP_SUP4                             hex     false      32'h00000001
RBAR_CAP_SUP5                             hex     false      32'h00000001
RBAR_CAP_VERSION                          hex     false      4'h1
RBAR_NUM                                  hex     false      3'h0
RECRC_CHK                                 int     false      0
RECRC_CHK_TRIM                            string  false      FALSE
REF_NAME                                  string  true       PCIE_2_1
REUSE_STATUS                              enum    true       
ROOT_CAP_CRS_SW_VISIBILITY                string  false      FALSE
RP_AUTO_SPD                               hex     false      2'h1
RP_AUTO_SPD_LOOPCNT                       hex     false      5'h1F
SCOPED_NAME                               string  true       XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/pcie_top_i/pcie_7x_i/pcie_block_i
SELECT_DLL_IF                             string  false      FALSE
SIM_VERSION                               string  false      1.0
SLOT_CAP_ATT_BUTTON_PRESENT               string  false      FALSE
SLOT_CAP_ATT_INDICATOR_PRESENT            string  false      FALSE
SLOT_CAP_ELEC_INTERLOCK_PRESENT           string  false      FALSE
SLOT_CAP_HOTPLUG_CAPABLE                  string  false      FALSE
SLOT_CAP_HOTPLUG_SURPRISE                 string  false      FALSE
SLOT_CAP_MRL_SENSOR_PRESENT               string  false      FALSE
SLOT_CAP_NO_CMD_COMPLETED_SUPPORT         string  false      FALSE
SLOT_CAP_PHYSICAL_SLOT_NUM                hex     false      13'h0000
SLOT_CAP_POWER_CONTROLLER_PRESENT         string  false      FALSE
