Timestamp,Phase,Node,BDF,Offset,Value
1788727653743408175,T3,/dev/xdma0_user,0000:01:00.0,0x3834,0xFFFFFFFF
1788727653745043448,T3,/dev/xdma0_user,0000:01:00.0,0x3850,0x00000000
1788727653746670436,T3,/dev/xdma0_user,0000:01:00.0,0x3854,0x00000002
1788727653748302563,T3,/dev/xdma0_user,0000:01:00.0,0x3858,0xFFFFFFFF
1788727653749922598,T3,/dev/xdma0_user,0000:01:00.0,0x3838,0x00000002
1788727653751538806,T3,/dev/xdma0_user,0000:01:00.0,0x384C,0x00000001
1788727653753161396,T3,/dev/xdma0_user,0000:01:00.0,0x3848,0x00000002
1788727654320530180,T3,/dev/xdma0_user,0000:01:00.0,0x380C,0x00000000
1788727750244500226,CLEANUP,/dev/xdma0_user,0000:01:00.0,0x380C,0x00000000
1788727750247040865,CLEANUP,/dev/xdma0_user,0000:01:00.0,0x3810,0x000004F4
1788727750250248207,CLEANUP,/dev/xdma0_user,0000:01:00.0,0x380C,0x00000000
1788727750253058604,CLEANUP,/dev/xdma0_user,0000:01:00.0,0x3810,0x000004F4
1788727750256294830,CLEANUP,/dev/xdma0_user,0000:01:00.0,0x380C,0x00000000
1788727750259238314,CLEANUP,/dev/xdma0_user,0000:01:00.0,0x3810,0x000004F4
1788727750261873047,CLEANUP,/dev/xdma0_user,0000:01:00.0,0x383C,0x00000007
