Slot,Query_Kind,Index,Startpoint_Pin,Endpoint_Pin,Startpoint_Clock,Endpoint_Clock,Datapath_Delay_ns,Requirement_ns,Slack_ns,Logic_Levels,Exception,Endpoint_Role,Path_Type
"2","ORIGINAL_GROUP_SCOPE","30","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/slot_state_source_reg[2][1]/D","userclk1","nvp_vclk1","5.473","6.000","0.559","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"2","ORIGINAL_GROUP_SCOPE","31","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/slot_state_source_reg[2][1]/D","userclk1","nvp_vclk1","5.473","6.000","0.559","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"2","ORIGINAL_GROUP_SCOPE","32","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/slot_state_source_reg[2][1]/D","userclk1","nvp_vclk1","5.473","6.000","0.559","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"2","ORIGINAL_GROUP_SCOPE","33","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/slot_state_source_reg[2][1]/D","userclk1","nvp_vclk1","5.473","6.000","0.559","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"2","ORIGINAL_GROUP_SCOPE","34","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/slot_state_source_reg[2][1]/D","userclk1","nvp_vclk1","5.473","6.000","0.559","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"2","ORIGINAL_GROUP_SCOPE","35","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/slot_state_source_reg[2][1]/D","userclk1","nvp_vclk1","5.473","6.000","0.559","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"2","ORIGINAL_GROUP_SCOPE","36","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/slot_state_source_reg[2][0]/D","userclk1","nvp_vclk1","5.268","6.000","0.764","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"2","ORIGINAL_GROUP_SCOPE","37","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/slot_state_source_reg[2][0]/D","userclk1","nvp_vclk1","5.268","6.000","0.764","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"2","ORIGINAL_GROUP_SCOPE","38","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/slot_state_source_reg[2][0]/D","userclk1","nvp_vclk1","5.268","6.000","0.764","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"2","ORIGINAL_GROUP_SCOPE","39","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/slot_state_source_reg[2][0]/D","userclk1","nvp_vclk1","5.268","6.000","0.764","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"2","ORIGINAL_GROUP_SCOPE","40","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/slot_state_source_reg[2][0]/D","userclk1","nvp_vclk1","5.268","6.000","0.764","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"2","ORIGINAL_GROUP_SCOPE","41","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/slot_state_source_reg[2][0]/D","userclk1","nvp_vclk1","5.268","6.000","0.764","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"2","ORIGINAL_GROUP_SCOPE","42","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/slot_state_source_reg[2][0]/D","userclk1","nvp_vclk1","5.268","6.000","0.764","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"2","ORIGINAL_GROUP_SCOPE","43","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/slot_state_source_reg[2][2]/D","userclk1","nvp_vclk1","4.884","6.000","1.149","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"2","ORIGINAL_GROUP_SCOPE","44","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/slot_state_source_reg[2][2]/D","userclk1","nvp_vclk1","4.884","6.000","1.149","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"2","ORIGINAL_GROUP_SCOPE","45","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/slot_state_source_reg[2][2]/D","userclk1","nvp_vclk1","4.884","6.000","1.149","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"2","ORIGINAL_GROUP_SCOPE","46","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/slot_state_source_reg[2][2]/D","userclk1","nvp_vclk1","4.884","6.000","1.149","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"2","ORIGINAL_GROUP_SCOPE","47","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/slot_state_source_reg[2][2]/D","userclk1","nvp_vclk1","4.884","6.000","1.149","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"2","ORIGINAL_GROUP_SCOPE","48","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/slot_state_source_reg[2][2]/D","userclk1","nvp_vclk1","4.884","6.000","1.149","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"2","ORIGINAL_GROUP_SCOPE","49","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/slot_state_source_reg[2][2]/D","userclk1","nvp_vclk1","4.884","6.000","1.149","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
