Slot,Query_Kind,Index,Startpoint_Pin,Endpoint_Pin,Startpoint_Clock,Endpoint_Clock,Datapath_Delay_ns,Requirement_ns,Slack_ns,Logic_Levels,Exception,Endpoint_Role,Path_Type
"1","ORIGINAL_GROUP_SCOPE","11","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/source_ownership_fatal_reg/D","userclk1","nvp_vclk1","5.509","6.000","0.523","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"1","ORIGINAL_GROUP_SCOPE","12","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/source_ownership_fatal_reg/D","userclk1","nvp_vclk1","5.509","6.000","0.523","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"1","ORIGINAL_GROUP_SCOPE","13","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/source_ownership_fatal_reg/D","userclk1","nvp_vclk1","5.509","6.000","0.523","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"1","ORIGINAL_GROUP_SCOPE","14","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/source_ownership_fatal_reg/D","userclk1","nvp_vclk1","5.509","6.000","0.523","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"1","ORIGINAL_GROUP_SCOPE","15","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/slot_state_source_reg[1][1]/D","userclk1","nvp_vclk1","5.548","6.000","0.528","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"1","ORIGINAL_GROUP_SCOPE","16","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/slot_state_source_reg[1][1]/D","userclk1","nvp_vclk1","5.548","6.000","0.528","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"1","ORIGINAL_GROUP_SCOPE","17","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/slot_state_source_reg[1][1]/D","userclk1","nvp_vclk1","5.548","6.000","0.528","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"1","ORIGINAL_GROUP_SCOPE","18","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/slot_state_source_reg[1][1]/D","userclk1","nvp_vclk1","5.548","6.000","0.528","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"1","ORIGINAL_GROUP_SCOPE","19","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/slot_state_source_reg[1][1]/D","userclk1","nvp_vclk1","5.548","6.000","0.528","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"1","ORIGINAL_GROUP_SCOPE","20","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/slot_state_source_reg[1][1]/D","userclk1","nvp_vclk1","5.548","6.000","0.528","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"1","ORIGINAL_GROUP_SCOPE","21","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/slot_state_source_reg[1][1]/D","userclk1","nvp_vclk1","5.548","6.000","0.528","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"1","ORIGINAL_GROUP_SCOPE","22","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/source_ownership_fatal_event_reg/D","userclk1","nvp_vclk1","5.518","6.000","0.558","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"1","ORIGINAL_GROUP_SCOPE","23","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/source_ownership_fatal_event_reg/D","userclk1","nvp_vclk1","5.518","6.000","0.558","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"1","ORIGINAL_GROUP_SCOPE","24","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/source_ownership_fatal_event_reg/D","userclk1","nvp_vclk1","5.518","6.000","0.558","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"1","ORIGINAL_GROUP_SCOPE","25","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/source_ownership_fatal_event_reg/D","userclk1","nvp_vclk1","5.518","6.000","0.558","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"1","ORIGINAL_GROUP_SCOPE","26","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/source_ownership_fatal_event_reg/D","userclk1","nvp_vclk1","5.518","6.000","0.558","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"1","ORIGINAL_GROUP_SCOPE","27","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/source_ownership_fatal_event_reg/D","userclk1","nvp_vclk1","5.518","6.000","0.558","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"1","ORIGINAL_GROUP_SCOPE","28","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/source_ownership_fatal_event_reg/D","userclk1","nvp_vclk1","5.518","6.000","0.558","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"1","ORIGINAL_GROUP_SCOPE","29","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/enable_applied_source_reg/D","userclk1","nvp_vclk1","5.446","6.000","0.584","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"1","ORIGINAL_GROUP_SCOPE","30","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/enable_applied_source_reg/D","userclk1","nvp_vclk1","5.446","6.000","0.584","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"1","ORIGINAL_GROUP_SCOPE","31","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/enable_applied_source_reg/D","userclk1","nvp_vclk1","5.446","6.000","0.584","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"1","ORIGINAL_GROUP_SCOPE","32","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/enable_applied_source_reg/D","userclk1","nvp_vclk1","5.446","6.000","0.584","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"1","ORIGINAL_GROUP_SCOPE","33","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/enable_applied_source_reg/D","userclk1","nvp_vclk1","5.446","6.000","0.584","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"1","ORIGINAL_GROUP_SCOPE","34","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/enable_applied_source_reg/D","userclk1","nvp_vclk1","5.446","6.000","0.584","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"1","ORIGINAL_GROUP_SCOPE","35","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/enable_applied_source_reg/D","userclk1","nvp_vclk1","5.446","6.000","0.584","9","MaxDelay Path 6.000ns -datapath_only","MISMATCH_CONTAINMENT","N/A"
"1","ORIGINAL_GROUP_SCOPE","36","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/slot_state_source_reg[1][0]/D","userclk1","nvp_vclk1","5.051","6.000","0.979","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"1","ORIGINAL_GROUP_SCOPE","37","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/slot_state_source_reg[1][0]/D","userclk1","nvp_vclk1","5.051","6.000","0.979","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"1","ORIGINAL_GROUP_SCOPE","38","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/slot_state_source_reg[1][0]/D","userclk1","nvp_vclk1","5.051","6.000","0.979","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"1","ORIGINAL_GROUP_SCOPE","39","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/slot_state_source_reg[1][0]/D","userclk1","nvp_vclk1","5.051","6.000","0.979","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"1","ORIGINAL_GROUP_SCOPE","40","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/slot_state_source_reg[1][0]/D","userclk1","nvp_vclk1","5.051","6.000","0.979","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"1","ORIGINAL_GROUP_SCOPE","41","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/slot_state_source_reg[1][0]/D","userclk1","nvp_vclk1","5.051","6.000","0.979","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"1","ORIGINAL_GROUP_SCOPE","42","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/slot_state_source_reg[1][0]/D","userclk1","nvp_vclk1","5.051","6.000","0.979","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"1","ORIGINAL_GROUP_SCOPE","43","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/slot_state_source_reg[1][2]/D","userclk1","nvp_vclk1","5.094","6.000","0.982","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"1","ORIGINAL_GROUP_SCOPE","44","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/slot_state_source_reg[1][2]/D","userclk1","nvp_vclk1","5.094","6.000","0.982","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"1","ORIGINAL_GROUP_SCOPE","45","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/slot_state_source_reg[1][2]/D","userclk1","nvp_vclk1","5.094","6.000","0.982","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"1","ORIGINAL_GROUP_SCOPE","46","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/slot_state_source_reg[1][2]/D","userclk1","nvp_vclk1","5.094","6.000","0.982","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"1","ORIGINAL_GROUP_SCOPE","47","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/slot_state_source_reg[1][2]/D","userclk1","nvp_vclk1","5.094","6.000","0.982","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"1","ORIGINAL_GROUP_SCOPE","48","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/slot_state_source_reg[1][2]/D","userclk1","nvp_vclk1","5.094","6.000","0.982","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
"1","ORIGINAL_GROUP_SCOPE","49","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/slot_state_source_reg[1][2]/D","userclk1","nvp_vclk1","5.094","6.000","0.982","9","MaxDelay Path 6.000ns -datapath_only","NORMAL_STATE_TRANSITION","N/A"
